,text,favourite_count,retweet_count,created_at
0,"https://t.co/jO7daMj26S

TOP STOCKS TO WATCH FOR THE WEEK OF Apr 25, 2022 

Stocks mentioned in this video: #Apple,  https://t.co/NRDq0OFhnV",0,0,2022-04-25 00:19:42+00:00
1,"$AAPL #AAPL sweep of $171-172 occurred before rejection (1Sigma/RJB). 

2STDEV also crosses Sigma levels (support)  https://t.co/EnFUS8TCoa",0,0,2022-04-24 23:52:52+00:00
2,$aapl #AAPL | W | Update - Moving lower towards support level line #geocharting #marketgeometry #nextgentools  https://t.co/O9ZqcQRu1q,0,0,2022-04-24 23:36:59+00:00
3,"Lots of big names for #earnings, what are you watching the week? #StockMarket #aapl $twtr $amzn $fb $msft $spot 

I  https://t.co/GnYz7ZywBm",1,0,2022-04-24 23:18:18+00:00
4,"Market traders use the weekend and head to the #TRICKTRADES https://t.co/vgGHRshwmT

#Youtube channel, actual profe  https://t.co/U07hbDgjOM",0,0,2022-04-24 22:20:27+00:00
5,Expect A Volatile trading this week w/ #AAPL #AMZN #TWTR #FB #XOM #MCD earnings this week   https://t.co/MaACAf8Llg,1,0,2022-04-24 22:00:01+00:00
6,#Nasdaq at a critical point here with some big tech names having ER this week. Sitting just above a supply zone and  https://t.co/T3ZarIDqPl,2,3,2022-04-24 21:56:21+00:00
7,"4/18-4/22 MTOptions full recap:
Just a few, twitter has a typing limit. 
#TGT calls 40%
#SPY PUTS 90%+
#AAPL puts 3  https://t.co/tNX3RnuIEk",2,0,2022-04-24 21:48:45+00:00
8,"It is not looking good for #BigTech 
Zone of 6776 and 6812 will give a short support with bounce up before we go de  https://t.co/FZFWVCcNVC",0,0,2022-04-24 21:45:46+00:00
9,"#apple #AAPL $aapl 
Interesting level https://t.co/UTYPltaaHr",1,0,2022-04-24 21:29:40+00:00
10,"$AAPL seeing sustained chatter on wallstreetbets over the last few daysVia https://t.co/DoXFBxbWjw#aapl  https://t.co/D7xr1oQ5My",0,0,2022-04-24 19:30:12+00:00
11,"@seyfarthshawLLP @AndrewJSherman @theinfluencerdc           #3logyInn 1-x

Pair trading strength is eye-opening in  https://t.co/lWaU7aiShS",2,0,2022-04-24 19:28:54+00:00
12,"Check out my #AAPL analysis on @TradingView: https://t.co/z0HUJPr7rZ $AAPL has room to 156 area, RSI bearish with r  https://t.co/ByAki7DYUu",1,0,2022-04-24 19:10:36+00:00
13,@DankBankHQ #AAPL he might have just had a bite,0,0,2022-04-24 18:07:43+00:00
14,"#Earnings releases for the week April 25, 2022 are Meta Platforms #FB, Apple #AAPL, Microsoft #MSFT, Amazon #AMZN,  https://t.co/feeftLh9aH",0,0,2022-04-24 17:50:29+00:00
15,"$AAPL 50% Crash to 80?
#AAPL #Stock #stocks #market #investing 

AAPL on verge of crash https://t.co/LxZkzJzv7d",36,0,2022-04-24 17:44:26+00:00
16,@moomooApp Only 235 Free #AAPL Stocks left,0,0,2022-04-24 17:24:23+00:00
17,AAPL Bullish for Earning - #AAPL chart on @TradingView https://t.co/V8t5DzexYi,0,0,2022-04-24 17:07:14+00:00
18,"Happy Sunday!

*Here Are My #Top5ThingsToKnowThisWeek:

- #AAPL #MSFT #AMZN  #GOOGLE #FB Earnings
- #TWTR #INTC  https://t.co/foxPeOpOY5",0,0,2022-04-24 16:48:31+00:00
19,"Are you prepared to take on the markets this week? If not, here is a watchlist that I created of some potential cat  https://t.co/eeK1bqwX9C",1,1,2022-04-24 16:44:56+00:00
20,$AAPL #AAPL UPDATE   https://t.co/w9FZO7h2xL https://t.co/o6LKhsjAQx,0,0,2022-04-24 16:28:58+00:00
21,@loneelmcapital @NoonSixCap The bubble in the markers has yet to burst. #Costco and #AAPL have to come down to norm  https://t.co/o9Q3zwkjL0,0,0,2022-04-24 15:40:19+00:00
