,text,favourite_count,retweet_count,created_at
0,Apple Is the Last FAANG Standing. How Its Earnings Could Move the Market #bespokeinvestmentgroup #alphabet #nflx  https://t.co/6xelbMEfVf,0,0,2022-04-24 23:07:02+00:00
1,"Market traders use the weekend and head to the #TRICKTRADES https://t.co/vgGHRshwmT

#Youtube channel, actual profe  https://t.co/U07hbDgjOM",0,0,2022-04-24 22:20:27+00:00
2,Expect A Volatile trading this week w/ #AAPL #AMZN #TWTR #FB #XOM #MCD earnings this week   https://t.co/MaACAf8Llg,1,0,2022-04-24 22:00:01+00:00
3,"It is not looking good for #BigTech 
Zone of 6776 and 6812 will give a short support with bounce up before we go de  https://t.co/FZFWVCcNVC",0,0,2022-04-24 21:45:46+00:00
4,"#Earnings releases for the week April 25, 2022 are Meta Platforms #FB, Apple #AAPL, Microsoft #MSFT, Amazon #AMZN,  https://t.co/feeftLh9aH",0,0,2022-04-24 17:50:29+00:00
5,Next weeks favorite long #msft #goog #fb #amzn for the #trade,0,0,2022-04-24 17:10:36+00:00
6,Next weeks favorite short #msft #goog #fb #amzn for the #trade,0,0,2022-04-24 17:09:26+00:00
7,What is your favorite #short play and #long play for next week out of: #ko #msft #goog #spot #fb #nok #amzn #roku  https://t.co/ZeJreU1Lcx,0,0,2022-04-24 17:07:17+00:00
8,"Also, $AMZN 200 EMA on weekly.

AMZN hasn t closed below 200 EMA on the weekly since 2008  This 200 EMA is current  https://t.co/Xx32AF0jFE",0,0,2022-04-24 16:51:17+00:00
9,"Happy Sunday!

*Here Are My #Top5ThingsToKnowThisWeek:

- #AAPL #MSFT #AMZN  #GOOGLE #FB Earnings
- #TWTR #INTC  https://t.co/foxPeOpOY5",0,0,2022-04-24 16:48:31+00:00
10,AMZN Analysis using Fibonacci  - #AMZN chart on @TradingView https://t.co/Mouxq8wLdB,0,0,2022-04-24 16:42:41+00:00
11,"Rumors of Fed adding 75 basis point, has the market priced in yet? 

https://t.co/ICIP4rdul2

#nasdaq #goog #appl  https://t.co/rXTWKaAEBY",0,0,2022-04-24 15:12:02+00:00
12,"Time for techs to report earnings. $AAPL, $AMZN, $GOOG, $GOOGL, $MSFT, and $FB report this week.

#AAPL #apple  https://t.co/gHysqlvGGM",4,1,2022-04-24 14:49:03+00:00
13,The Big Five #FAANG Stock and Sector Service is now posted for Sunday #AMZN #AAPL #FB #NFLX #TSLA #GOOGL and  Secto  https://t.co/vpTyhACQpL,0,2,2022-04-24 14:02:46+00:00
14,"Expecting a stockmarket crash for quitte some months now.. Markets are a self correcting mechanism, the timing of i  https://t.co/45yRMRcVfD",0,0,2022-04-24 13:37:48+00:00
15,"@markets I guess #Tesla is a bargain compare to #Amazon.  

#TSLA is overvalued only by misly 3,421% compare to  https://t.co/8CfALv6OqE",0,0,2022-04-24 12:06:59+00:00
16,"The market is so bad now, FAAMG has released financial reports one after another, let us wait and see!
$TSLA #AAPL #MSFT #FB  #amzn #Google",0,0,2022-04-24 11:23:40+00:00
17,@awscloud #amzn is an extremely crooked company stealing inventory and funds,0,0,2022-04-24 10:27:12+00:00
18,@amazonIN #amzn is an extremely crooked company stealing inventory and funds,0,0,2022-04-24 10:26:06+00:00
19,@amazon #amzn is an extremely crooked company stealing inventory and funds,0,0,2022-04-24 10:25:48+00:00
20,"My first *real* experience in a market which only has one colour, my portfolio anyways..
But I'm enjoying picking u  https://t.co/U5kzNs2qZ9",0,0,2022-04-24 09:28:57+00:00
21,"It seems #FAANG stocks are in trouble:

 #GOOGL
 #FB
 #NFLX
 #AAPL

#AAPL and #AMZN is above support line. https://t.co/pKz6PS37PM",11,1,2022-04-24 06:36:03+00:00
22,"$AMZN PREDICTION- 

Tomorrows Predicted Price : 2973.86 | 2022-04-25
 
Current Price: 2887.0 
$AMZN Predicted to In  https://t.co/ihT7V4Rftq",1,0,2022-04-24 02:43:02+00:00
23,"@zerohedge @elonmusk That's great! #fantasy #novel #free #read on #AMZN #KindleUnlimited 
https://t.co/1ExLT2sPp7",0,0,2022-04-24 01:24:05+00:00
24,"#Fast-#paced #fantasy #page-#turner, #Free #Read on #AMZN #KindleUnlimited 
#booklover #magic #sword and #sorcery  https://t.co/a3paZloIAh",2,1,2022-04-24 01:13:58+00:00
25,"@alongsidefi @zerohedge haha one also can write #books! well, #MCD pays tho 
Is she a helpless victim or an omnipot  https://t.co/36B0A7b9py",0,1,2022-04-23 22:56:09+00:00
26,"@cr_gearhart Thank you!
Is she a helpless victim or an omnipotent killer? It depends. But for sure she ll protect t  https://t.co/wXM2llP5ev",1,1,2022-04-23 22:43:22+00:00
27,"@Matt33237989 Thank you!
Is she a helpless victim or an omnipotent killer? It depends. But for sure she ll protect  https://t.co/DX2ZqJPVn3",1,1,2022-04-23 22:40:42+00:00
28,Is she a helpless victim or an omnipotent killer? It depends. But for sure she ll protect to the end everybody she  https://t.co/dGu0K9hPAU,3,3,2022-04-23 22:27:07+00:00
29,"@AleCocoAuthor Thank you! 
Is she a helpless victim or an omnipotent killer? It depends. But for sure she ll protec  https://t.co/o7zJzasrno",1,1,2022-04-23 22:24:51+00:00
30,"@RaelleLogan1 Thank you! 
Is she a helpless victim or an omnipotent killer? It depends. But for sure she ll protect  https://t.co/gDXCk9yJK1",3,1,2022-04-23 22:21:30+00:00
31,"@GTomaini Thank You! 
Is she a helpless victim or an omnipotent killer? It depends. But for sure she ll protect to  https://t.co/61i5Xjzgb3",0,1,2022-04-23 22:19:32+00:00
