,text,favourite_count,retweet_count,created_at
0,@sankari2017 @rajinikanth No options needed its always #Baba  ,0,0,2022-04-21 03:44:28+00:00
1,#Tesla gets the red carpet in #China while the CCP DESTROYS THEIR OWN COMPANIES #didi #baba @DidiGlobal,0,0,2022-04-21 03:25:12+00:00
2," .          

Why can t it be always like this? Me stuck in your eyes, you stuck in mine.

A feeling  https://t.co/TT2tqnmW7S",0,0,2022-04-21 03:15:00+00:00
3," .      

Seeing you here was like finding Heaven on Earth.

Thought I knew my heartbeat, but it was out  https://t.co/GUC4zRptJq",0,0,2022-04-21 03:14:58+00:00
4," .      

Who knew a helicopter could be so useful to put a smile in the face of the one you love? 

We s  https://t.co/c9li1KdIEB",0,0,2022-04-21 03:14:57+00:00
5,#HakanKurta  #baba @hakankurtas_edits instagram  https://t.co/SIXYA0DA0V,0,0,2022-04-21 03:10:11+00:00
6,"~77% of #JD s shares are circulating in Hong
Kong s clearing and settling system as of Tuesday, vs 44% at the begin  https://t.co/tTMeK6tI9K",2,1,2022-04-21 02:39:55+00:00
7,"Rooh Baba: @TheAaryanKartik dons  baba  look like @akshaykumar , fans super excited Follow Us on @iwmbuzz  https://t.co/mnhYlHCpaf",3,0,2022-04-21 01:30:50+00:00
8," .    

It might be far away but when two souls are tangled together, kilometers don t mean much.

But you  https://t.co/ISRKa7ZyMS",0,0,2022-04-21 01:20:48+00:00
9," .      

Hearing your voice always makes everything better, even if it s through the phone.

If you re bro  https://t.co/b8ZsIJA0Gg",0,0,2022-04-21 01:20:47+00:00
10,"Kadir and Elif same vibes  

#KadEl #Baba #TolgaSar ta  #DilaraAks yek https://t.co/QbGr6EYgQF",4,1,2022-04-21 01:13:10+00:00
11,"Their scenes  Their acting  Their details  Their similarity 
When I m watching their scenes I feel that Haluk is To  https://t.co/Tit74SKD3w",1,0,2022-04-21 01:06:54+00:00
12,"THIS IS SO PRECIOUS IM CRYING AGAIN  LHAN 
IYI GECELER 

#ILB  # lhanKara am #HakanKurta  #Baba  https://t.co/RGhLG3KlSB",2,0,2022-04-21 01:05:06+00:00
13,"EVET  

#ILB  # lhanKara am #HakanKurta  #Baba https://t.co/S4K5q9zfmU https://t.co/Uqf8F6kFnn",2,0,2022-04-21 00:59:36+00:00
14,"Beautifully said  
# lB    #Baba https://t.co/OhYQwseEmp",3,0,2022-04-21 00:23:41+00:00
15,"""B ra hi bir yere gitme hep yanimda kal"" how could you leave  lhan like that after everything he did and said to y  https://t.co/f5QiA4TqyY",8,0,2022-04-21 00:19:46+00:00
16,"OH MY GOD  

#ILB  # lhanKara am #HakanKurta  #Baba https://t.co/nAedN3JUrq https://t.co/z5kdhdjode",2,0,2022-04-20 23:06:44+00:00
17,"i fell in love with them  
#baba #ilb  https://t.co/LQOtUme5DB",8,1,2022-04-20 23:03:48+00:00
18,"So cute     

#Baba #KadEl https://t.co/bqJSuvtkMd",4,0,2022-04-20 23:01:47+00:00
19,"@ceyrankaracam Did you notice when he paused at her lips? 
# lB  | #Baba https://t.co/ZuyOStaoJs",5,1,2022-04-20 22:58:02+00:00
20,"DID YALL NOTICE HE TAKES HER HANDS AND HOLDS THEM A KIM 

#ILB  # lhanKara am #HakanKurta  #Baba https://t.co/bzIInag77o",8,0,2022-04-20 22:21:52+00:00
21,"""Bana anlata bilir misin ne oldu?"" 
this pure child got up from a coma and the first thing he wants to do is marry  https://t.co/qxeBY4kxF2",14,0,2022-04-20 22:14:51+00:00
22,"A brother        by you  
#Baba #TolgaSar ta  #OzgeYag z https://t.co/OdmYTaYjcL",2,0,2022-04-20 22:06:46+00:00
23,So cute and innocent. Beautiful first   #ilb  #baba https://t.co/gZvH6fygxH,12,0,2022-04-20 22:04:45+00:00
24,They made the cut. Iconic couples list. #ilb  #baba   https://t.co/lnmfVevXrN,8,0,2022-04-20 22:00:45+00:00
25,"And writers write a sentence for ilhan 
"" I have never had an argument with my father  "" - really ?!

WTF 

At firs  https://t.co/CoyyTjfeuf",2,0,2022-04-20 21:37:24+00:00
26,@charlesnazi Better question #baba dun turn motivational speaker on top N100m presidential form,0,0,2022-04-20 21:27:15+00:00
27,"#BABA
#alibaba

I wanna see this price when i wake up morning. https://t.co/8JXMI7GD2U",0,0,2022-04-20 21:24:32+00:00
28,"@TotoLinet I used to respect you but you're just a hypocrite!
You will end up biting your fingers young girl; bewar  https://t.co/YUrAVMdmFX",1,0,2022-04-20 21:23:11+00:00
29," # lB  || my stone mind,
and my glass heart...  #Baba https://t.co/ZpdL61ZMQh",51,7,2022-04-20 21:21:10+00:00
30,"our beautiful # lB  

# zgeYa z #HakanKurta  #Baba https://t.co/EV9HAvIdd8",4,1,2022-04-20 21:10:00+00:00
31,"OH OR IS THIS WHERE  LHAN'S THERAPIST IS BUT WHY AT NIGHT IT DOES LOOK LIKE THE SAME PLACE THOUGH

#ILB  # lhanKara am #HakanKurta  #Baba",2,0,2022-04-20 20:22:22+00:00
32,ARE THEY FILMING AT A PSYCHIATRIC HOSPITAL FOR REAL OH MY GOD DIDN'T ILHAN SUFFER ENOUGH HOW IS HE GONNA GO THROUGH  https://t.co/uK1RIYn8fm,7,0,2022-04-20 20:20:45+00:00
33,when you cant get your deposit back so you make the hospital your 2nd home set and start killing main characters as  https://t.co/JlQFa7G6pG,10,1,2022-04-20 20:04:05+00:00
34,"Cute  
#TolgaSar ta  . #Baba https://t.co/tHZxUnp0So",14,0,2022-04-20 20:03:28+00:00
35,"#Baba   #KadEl
   . https://t.co/70ufFw4mtH",38,7,2022-04-20 20:02:16+00:00
36,"NE DEMEK YA are they shooting now again ddjfjfkfcmcc

#ILB  # lhanKara am #HakanKurta  #Baba https://t.co/b3wRAbl1ME",10,0,2022-04-20 19:59:22+00:00
37,"sweet little family: we miss you so much!

#Baba
#KadSev
#TolgaSar ta  
#BerilPozam https://t.co/jZ5dSKGVW2",2,0,2022-04-20 19:46:49+00:00
38,You can say she got used to live like this..BUT.. No she didn't because she hated it . Otherwise living like this w  https://t.co/V6rfCajBPB,0,0,2022-04-20 19:45:03+00:00
39,"I don't say let's follow everyone who listen you or is nice to you . I say follow yourself when your ""family isn't  https://t.co/q4wEnB2Ohr",0,0,2022-04-20 19:45:03+00:00
40,"You know what yes it's fiction , yes we watched this moment on screen and Busra didn't hear this words herself , i  https://t.co/N8BUoeAsoc",1,0,2022-04-20 19:45:02+00:00
41,After two years of waiting I am finally ready to press the red button. #Baba https://t.co/9iz3f7efCB,0,0,2022-04-20 19:42:39+00:00
42,"#Baba: My baba is the best as sanchalak, he is fair and played based on rules and didnt restrict them by creating u  https://t.co/yVkxlGMKAh",3,0,2022-04-20 19:40:14+00:00
43,"@Damlasu_gifs   She melts my heart sweetly  !
  #Damlasu kizo lu #Baba  ",0,0,2022-04-20 19:40:06+00:00
44,"@AirdropStario nice project
#Futra1989
#Wahhu209
#LinAnderson 
#Baba 
#LeDesk",0,0,2022-04-20 19:38:54+00:00
45,@AzaiezSamar I agree. I also know how much Kadir loved Seville and the show kinda got rid of her. I just hope Gokha  https://t.co/5QuyT0yOIi,1,0,2022-04-20 19:27:28+00:00
46,"into your arms   

#ilb  #baba
# zgeya z #hakankurta  https://t.co/RoEgRwyvNU",37,4,2022-04-20 19:22:27+00:00
47,""" I entrusted you to GOD ""
Really ? And who is that GOD ? Nurses ? His fucking father ? Who ? 

OKAY, it's writers  https://t.co/CSUWjgA2Tm",3,1,2022-04-20 19:20:33+00:00
48,"7times in a row
#Brand for a reason
#BindhuMadhavi #Ariyana #hamida gave tough fight. #BiggBossNonStop #anchorshiva  https://t.co/4nnDxK8ai8",6,1,2022-04-20 19:18:05+00:00
49,"Bibi @BakhtawarBZ with #Mama  
Bibi @AseefaBZ with #Baba  https://t.co/SXAx5C66pF",1,1,2022-04-20 19:15:52+00:00
50,People are really upset about the breakup. Let s wait a few episodes and see what happens. Under no circumstances s  https://t.co/PzCV5t4XnT,1,0,2022-04-20 19:14:39+00:00
51,"@TolgacimS We love it, it's a dulce de leche bonbon, how can there be such a beautiful thing as dimee

#Baba  https://t.co/hZ7MeiudgX",3,0,2022-04-20 19:06:25+00:00
52,@ceyrankaracam I get the feeling it s done. The way Hakan promoted Emin and Ilhan and never #ilb . I just have a b  https://t.co/GtooJDwhfj,1,0,2022-04-20 19:04:15+00:00
53,I see it too but let s hope both Busra and Seville have stories that represent women. Yes love the bromance but it  https://t.co/eYL7sjFVbT,2,0,2022-04-20 19:01:12+00:00
54,++ he talks to her like he knows her very well . The fact that she was born in a wealthy family doesn't mean she go  https://t.co/T5czornkfF,1,0,2022-04-20 18:59:07+00:00
55,"Sorry this guy is the most stupid business man i have ever seen even in TV shows   

I understand he is kind but if  https://t.co/9W3Fmqkg6H",0,0,2022-04-20 18:59:06+00:00
56,"Beauty   .

#KadEl  #Baba https://t.co/0w7Uh7N9am",14,2,2022-04-20 18:57:45+00:00
57,@ilBusPoetry @babatvdizi The way Hakan was promoting one scene with Haluk &amp; he had all those great scenes with Ozge  https://t.co/3fAywiI47i,3,0,2022-04-20 18:57:01+00:00
58,"Just  
#TolgaSar ta  #Baba https://t.co/sBSbKsZZJH",10,1,2022-04-20 18:47:51+00:00
59,"First violence from Mr Blonde 
#baba #yenildim https://t.co/up9INcSmmr",6,0,2022-04-20 18:43:07+00:00
60,"Okay first of all , the next week maybe i give up #Baba as it already said everything they have to say . 

Actually  https://t.co/Fm2hju21SR",1,0,2022-04-20 18:37:04+00:00
61,So this shitty mother gave Busra bedroom to the dead nephew pregnant mistress when they kicked Busra out for Kissing Ilhan? # lb  #Baba,3,0,2022-04-20 18:37:03+00:00
62,"P A I N  

#ILB  # lhanKara am #HakanKurta  #Baba https://t.co/1fONODO2up",5,0,2022-04-20 18:36:54+00:00
63,she just left  lhan like this??? how can you leave him like this my angel is in pain but got up from the chair for  https://t.co/N9qLYikb00,12,1,2022-04-20 18:34:39+00:00
