,text,favourite_count,retweet_count,created_at
0,"#BAC the volume today was lower than in recent days: only 40,553,447 shares traded. The 20-day average volume is 49  https://t.co/b74Qc90cmD",0,0,2022-04-22 09:03:28+00:00
1,"In US, spending on fast-fashion brands has slowed y/y, as low-inc consumers feel more pinched: #BAC analysis of cre  https://t.co/LRGW7M9AjT",0,0,2022-04-22 07:42:53+00:00
2,Board Ape - #1657 was just sold for 0.09  ($271.02) #BAC https://t.co/ZD6AsHVziD https://t.co/pPSmDaTOZJ,4,0,2022-04-22 05:35:45+00:00
3,Board Ape - #0209 was just sold for 0.09  ($270.10) #BAC https://t.co/FPBCapJSWO https://t.co/0TWCiVfobq,3,1,2022-04-21 21:32:37+00:00
4,"$BAC Bank of America Corporation: Reference Price 44.47, 3 Year Prediction 44.95, Potential 1.0%, #BAC",0,0,2022-04-21 21:23:07+00:00
5,"#BAC-PB the Aroon indicator is bearish
https://t.co/klkWwXaKkh
Try our new intuitive free stock screener on  https://t.co/XXNb4x4iip",0,0,2022-04-21 20:55:48+00:00
6,Lavatory Cleaning Services for your plane are available at #BAC for only $85! Let us do the dirty work. Call 203-74  https://t.co/FxcLG4CGz3,0,0,2022-04-21 20:30:08+00:00
7,$XLF the 3 wave bounce from the lows should reach $38.12- $38.57 area where sellers are expected to appear #Elliottwave #Trading #BAC,0,0,2022-04-21 20:16:00+00:00
8,$XLF has seen a break below April's low within the short term cycles favoring more downside &amp; a possible break belo  https://t.co/54sHZaNP4h,0,0,2022-04-21 18:15:00+00:00
9,$BAC - 1h : #BAC has produced the following harmonic trading signal. Fully formed patterns are green(bull)/red(bear  https://t.co/gwE8gJ916A,0,0,2022-04-21 16:20:36+00:00
10,"After your 9 to 5 job joining the #Metaverse

Best #pfpNfts #Htrpunks   @HTRPunks #BoardApes   @BoardApeCo  https://t.co/jGwxlqpRt1",9,1,2022-04-21 15:23:43+00:00
11,"After discussing how alcohol increases our blood alcohol concentration #BAC earlier in the week, we spent the half  https://t.co/QyIOMzPouC",2,0,2022-04-21 13:54:45+00:00
12,$XLF 1hr view from yesterday's Midday update presented to members at https://t.co/vLumqTeNRR the new low turned int  https://t.co/TzvnVhV9JA,0,0,2022-04-21 12:51:34+00:00
13,Board Ape - #1176 was just sold for 0.069  ($217.60) #BAC https://t.co/y0jsKgtjp3 https://t.co/VONkFfmNZ5,1,0,2022-04-21 12:07:33+00:00
14,Board Ape - #1228 was just sold for 0.099  ($312.20) #BAC https://t.co/N60vAzhpij https://t.co/48JZt3MsH2,1,0,2022-04-21 12:07:33+00:00
15,Board Ape - #0725 was just sold for 0.065  ($204.98) #BAC https://t.co/LyIzisTIWf https://t.co/4KEW21Jh73,1,0,2022-04-21 12:07:33+00:00
16,Board Ape - #1470 was just sold for 0.069  ($217.60) #BAC https://t.co/jZu3tp9Ioi https://t.co/p2dVPjt4th,1,0,2022-04-21 12:07:33+00:00
17,Board Ape - #0571 was just sold for 0.07  ($220.75) #BAC https://t.co/OxwzgQ48Gd https://t.co/3iL0OxOkpu,1,0,2022-04-21 12:07:33+00:00
18,Board Ape - #0286 was just sold for 0.129  ($406.81) #BAC https://t.co/F86mismTEr https://t.co/4mieSCLgVJ,1,0,2022-04-21 12:07:33+00:00
