,text,favourite_count,retweet_count,created_at
0,CHECK THIS OUT! #mothersday 18ct #Gold #Commemorative #WinstonChurchill #Coin #Rare https://t.co/as5Mgb9hds via  https://t.co/cqsgUx0igM,0,0,2022-04-22 08:50:00+00:00
1,"$DD Our 2 cryptocurrencies are a revolution !!!  

#token #tokens #tokensale #tokenomics #coin  https://t.co/n7FVTUdjn6",0,0,2022-04-22 08:49:50+00:00
2,"The world is going digital, take advantage of it and invest in META3
.
.
#metaverse #NFT #technologies #investing  https://t.co/6dlJcA2Nxu",0,0,2022-04-22 08:48:06+00:00
3,Focus on making 2022 the best year yet with #webdollar. Webdollar is The Most Attractive #Coin to Get and #HODL for  https://t.co/WtZxC3JhDY,1,1,2022-04-22 08:46:20+00:00
4,"  almost three weeks after listing on @BitMartExchange @dogemeta_coin is still in their top coins!  

#dogemeta  https://t.co/R3UcnvnBeF",2,0,2022-04-22 08:34:00+00:00
5,"https://t.co/bD9ShcaEbp
The US s National Bank Regulator Is Not Happy With Anchorage Digital s Know-Your-Customer P  https://t.co/vDIeh4eFjK",0,0,2022-04-22 08:33:32+00:00
6,My new domains                                   #Web 3.0 #Domains #domainforsale #nft #NFTCommunity  https://t.co/FeO9ZIPobO,1,1,2022-04-22 08:26:58+00:00
7,"We begin

Adonis Network 
.
@adonis_network
.
  https://t.co/TZlUTdKwkL

#Adonis_network #coin #blockchain  https://t.co/q9Zt1nkRlm",1,0,2022-04-22 08:26:10+00:00
8,"[Web3 embraces women to join the movement]

To Read the Full Post Click on the Link Below:
https://t.co/yeCFlpdvG2  https://t.co/bg677YXdlw",0,1,2022-04-22 08:22:05+00:00
9,"@BSCGemsAlert  #PersianCat Token #Coin is Born  
Buy &amp; Sell Fee=0
Buy via #PancakeSwap
 https://t.co/SOSdS5NsZs
Sym  https://t.co/YNiX2CHEYE",0,0,2022-04-22 08:21:45+00:00
10,"@Wealth3096 @BSCGemsAlert @PersianCToken  #PersianCat Token #Coin is Born  
Buy &amp; Sell Fee=0
Buy via #PancakeSwap
  https://t.co/sLLuPeqjwB",0,0,2022-04-22 08:15:25+00:00
11,"$DD WE ARE THE CRYPTO CHALLENGE OF THE FUTURE !!! 

#token #tokenomics #tokensale #tokenclub #tokens #tokenlaunch  https://t.co/BvBcymK9Ue",1,1,2022-04-22 08:15:13+00:00
12,"@bsclowcapgems @TreePlantation_ @BakedBeansMiner  #PersianCat Token #Coin is Born  
Buy &amp; Sell Fee=0
Buy via  https://t.co/HuGNQEHPW4",0,0,2022-04-22 08:10:47+00:00
13,"@Wealth3096 @bsclowcapgems @TreePlantation_ @BakedBeansMiner @PersianCToken  #PersianCat Token #Coin is Born  
Buy  https://t.co/Px5dDoTJA9",0,0,2022-04-22 08:09:12+00:00
14,"If you have $5000, which of these listed #coin would you invest in?
#BTC 
#ETH 
#shibainu
#dogecoin 
#XRP 
#BSC  https://t.co/zthXlHroJY",0,0,2022-04-22 08:07:40+00:00
15,"@AltcoinWorldcom  #PersianCat Token #Coin is Born  
Buy &amp; Sell Fee=0
Buy via #PancakeSwap
 https://t.co/SOSdS5NsZs  https://t.co/h87gDKxbTR",0,0,2022-04-22 08:03:04+00:00
16,"@Wealth3096 @AltcoinWorldcom @PersianCToken  #PersianCat Token #Coin is Born  
Buy &amp; Sell Fee=0
Buy via  https://t.co/JmkYOzMH4g",0,0,2022-04-22 08:00:10+00:00
17,"@cryptojack  #PersianCat Token #Coin is Born  
Buy &amp; Sell Fee=0
Buy via #PancakeSwap
 https://t.co/SOSdS5NsZs
Symbo  https://t.co/g89Tz64bkN",0,0,2022-04-22 07:59:24+00:00
18,#IronAge #Iceni #silver #coin found @SantonDownham thanks to @AncientHouseMus #Norfolk https://t.co/JiguuAUqZV,0,0,2022-04-22 07:54:35+00:00
19,@Mervin_Bunter @cave_gem #GemCave going to revolutionize NFT tech! Still so early! #NFT @kucoincom @TheBinanceNFT  https://t.co/6VOR2CGG58,0,0,2022-04-22 07:54:06+00:00
20,"The price of KSN is increasing every day - buy KSN Token now for your better future

See how:  https://t.co/L0NeZOdESO",1,0,2022-04-22 07:49:27+00:00
21,"Best Cryptocurrency Ever - KSN Token

See how: https://t.co/CVpSqXzNT2
#cryptoplatform #tradingplatform #kissan  https://t.co/nwLW7j8LIN",2,0,2022-04-22 07:42:14+00:00
22,"#BollingerAlert !

 - $DOCK (108 sats) is over Upper B. Band in 30M|1H|2H|4H

#crypto #coin $BTC",0,0,2022-04-22 07:40:39+00:00
23,"$DD HUUUUUUUUGE BOOOOOOOOOM !!!  

#tokenomics #token #tokens #cryptonews #cryptoworld #cryptos #cryptos  https://t.co/JJSHyL1LAl",0,1,2022-04-22 07:39:37+00:00
24,@PeterSchiff #coin went through price discovery as stocks do after listing. What you are describing is a strong buy  https://t.co/XkSEZweLyW,1,1,2022-04-22 07:34:06+00:00
25,"@Crypto_Sarah1  #PersianCat Token #Coin is Born  
Buy &amp; Sell Fee=0
Buy via #PancakeSwap
 https://t.co/SOSdS5NsZs
Sy  https://t.co/gj8BD4FaZM",0,0,2022-04-22 07:30:18+00:00
26,"I found a really cool NFTproject.
=&gt; @MemeTherapy_
#Memecoin  #Klaytn  #Koreanmemecoin #Koreancoin #MMT  #NFTToken  https://t.co/OVwF41E8Fs",0,0,2022-04-22 07:22:46+00:00
27,"@WatcherGuru  #PersianCat Token #Coin is Born  
Buy &amp; Sell Fee=0
Buy via #PancakeSwap
 https://t.co/SOSdS5NsZs
Symb  https://t.co/XYISQs0XYX",0,0,2022-04-22 07:20:09+00:00
28,"Positive #eBay Feedback just received:
Buyer: 1b245 (4679)
A perfect 5 star   transaction, many thanks 
1965  https://t.co/WRhxWHHGeY",1,1,2022-04-22 07:13:39+00:00
29,"$DD WEALTH IS GREAT  

#token #tokens #tokensale #tokenomics #tokenlaunch #coin #cryptocoin  https://t.co/X2xxPsIUye",0,0,2022-04-22 07:09:09+00:00
30,@Coinw_exchange #Airdrop #Airdrops #Airdropcrypto #crypto #token #coin #giveaway #giveaways  #btc #NFT  https://t.co/xAdUgal93B,0,0,2022-04-22 07:03:25+00:00
31,"$COIN was the 1st most mentioned on 4chan over the last 7 daysVia https://t.co/evZNYSh359#coin    #4chan  https://t.co/Ug8EDmZ5nv",0,0,2022-04-22 06:59:07+00:00
32,"If you want to help, please retweet this post, follow the link and add your favorite #nft to your favorites  https://t.co/BpLxASa74V",0,1,2022-04-22 06:57:05+00:00
33,"Mcptoken coming  

#token #mcptoken #mcp #binance #exchange #tronpro #pinkasthetic #trending #explorepage  https://t.co/YfDJEEv6uS",1,0,2022-04-22 06:53:48+00:00
34,"magical painted internet money #150
https://t.co/E6Y3vvoyVy
 painted coin each with a different serial number  https://t.co/VHaFYRBLQ0",0,1,2022-04-22 06:53:22+00:00
35,"Coming soon  
#ajiotoken #token #earn #money #coin #binance #tronpro #cryptocurrency #crypto #news https://t.co/TVhN6X9d7a",1,0,2022-04-22 06:47:18+00:00
36,"This is just the beginning... Coming to make a splash in the market... #adsexchange
@ads_coin #adscoin #adscoins  https://t.co/wwUXEI40Vs",2,1,2022-04-22 06:29:09+00:00
37,"Cult DAO Breaks Down Recent Increase in CULT Treasury Volume [PRESS RELEASE   London, UK, 12th April 2022]
Cult DAO  https://t.co/cjG0esSnEP",0,0,2022-04-22 06:26:14+00:00
38, Green oasis  for #Bitcoin mining: Norway has almost 1% of global #BTC hash rate Norway s Bitcoin mining credential  https://t.co/SI4xJo2VwC,1,1,2022-04-22 06:26:14+00:00
39,"Celsius holds more #Bitcoin than any other company 
MicroStrategy lost its reign as the company with the largest bi  https://t.co/Ay9IPORiYL",1,1,2022-04-22 06:26:14+00:00
40,Webtoon platform Kakao Piccoma buys 50% of Japan s Sakura Exchange It follows a history of #crypto projects from Ka  https://t.co/B8uk4Vzf2B,1,1,2022-04-22 06:26:13+00:00
41,"#BollingerAlert !

 - $OCEAN (0.00001405) is over Upper B. Band in 30M|1H|2H|4H|1D

#crypto #coin $BTC",0,0,2022-04-22 06:25:42+00:00
42,"Earth Day Balloon #31
NFT Collection ""Universe of Balloons"" by: IMPashaev

Money for this NFT art will be donated t  https://t.co/LTqZrFYqSC",12,1,2022-04-22 06:24:14+00:00
43,"$DD Get rich in the parallel world !!!  

#token #tokens #tokensale #tokenomics #tokenlaunch #tokenclub  https://t.co/mJLrsZMVZd",0,0,2022-04-22 06:23:19+00:00
44,Today on kucoin #coin #binance #kucoin #analysis #doge #btc https://t.co/SKMcnwDOfZ,1,0,2022-04-22 06:19:28+00:00
45,Today on binance #coin #binance #kucoin #analysis #doge #btc https://t.co/BAn8AP0lkn,0,0,2022-04-22 06:19:21+00:00
46,"Pharaoh Ballon #30
NFT Collection ""Universe of Balloons"" by: IMPashaev

Meet Pharaoh Balloon

#nft #art  https://t.co/ZxvGy59C88",9,0,2022-04-22 06:18:57+00:00
