,text,favourite_count,retweet_count,created_at
0,"$DIS seeing sustained chatter on 4chan over the last few daysVia https://t.co/9sF0lVoakX#dis    #4chan  https://t.co/3fyIJhB56W",0,0,2022-04-21 01:13:25+00:00
1,"$DIS one of the most mentioned on wallstreetbets over the last 24 hoursVia https://t.co/9sF0lVoakX#dis  https://t.co/ECRO3aFDs5",0,0,2022-04-20 23:13:06+00:00
2,@UCastellotti #DIS needs to be dismantled next. The only thing these sick bastards understand is money.,0,0,2022-04-20 19:42:38+00:00
3,"https://t.co/t6kVcSK6IH

Stock market:
$CVX +5.14%  
$PALLAD +3.13%  
$RELIANCE.NS +2.94%  
$TMO +2.84%  

$FB -7.9  https://t.co/ailYSigsX4",0,0,2022-04-20 19:00:03+00:00
4,@anshumangosain @DonaldPond6 Yep #DIS is the buy,0,0,2022-04-20 18:12:35+00:00
5,"https://t.co/t6kVcSK6IH

Stock market:
$CVX +5.12%  
$TMO +4.04%  
$DHR +3.65%  
$CVS +3.24%  

$FB -7.28%  
$DIS -  https://t.co/m3OAGLa6Hb",1,0,2022-04-20 17:00:03+00:00
6,Thanks to #floridaman @GovRonDeSantis I'm all in on buying Disney stock. Thanks bud! #DIS,0,0,2022-04-20 15:28:00+00:00
7,"https://t.co/t6kVcSK6IH

Stock market:
$ASML +4.42%  
$CVX +4.26%  
$DHR +2.96%  
$RELIANCE.NS +2.94%  

$FB -5.68%  https://t.co/nd7CB3Ld4P",0,0,2022-04-20 15:00:02+00:00
8,"https://t.co/ijNPkpUA5L
Markers SPX 4481 Gold 1948 Silver 25.20 &amp;MOC?
I don't need a horoscope to see Disney needs  https://t.co/O3f2WLgTHF",2,0,2022-04-20 14:58:33+00:00
9,"People are fed up with ""woke"" Companies! Their stocks have only just begun to sink. 
#NFLX   #DIS   #TWTR   #FB",13,4,2022-04-20 14:42:39+00:00
10,"@jimcramer re #DIS in the Investment Club call, no comment re the potential tax law changes in Florida?  Quite material, no?  
Thoughts?",0,0,2022-04-20 14:34:59+00:00
11,"Take a look at #DIS . Its chart looks very similar to #NFLX, as does #ROKU, #WBD and all other things streaming. Do  https://t.co/7g1YmzYbzw",0,0,2022-04-20 14:11:09+00:00
