,text,favourite_count,retweet_count,created_at
0,@CapitalJurassic @WallSt_Dropout What about future growth?..taking about #GOOG Specifically..,0,0,2022-04-23 03:36:18+00:00
1,@BigBullCap Lower yes but #GOOG AT 2100?..NAH..ppl are starting to smell the deal...prob bottom t 2300,0,0,2022-04-23 03:34:18+00:00
2,"#GOOG - GOOGL, 10d+/26.84% - TradingView - https://t.co/k1ffa7YCz6",0,0,2022-04-23 03:20:00+00:00
3,"Patience is rewarded in investing. $5,000 in these stocks, 5 years ago would be worth: #tesla #goog #aapl https://t.co/AFs5ISaUhD",0,0,2022-04-23 02:47:04+00:00
4,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/u5b3Dkmuvj,0,0,2022-04-23 01:23:47+00:00
5,@AndrewhFX @M5Goodvibes @Biderman838 Insiders also bought #Netflix before the 35% drop..wouldn't take much on that.  https://t.co/3SJD1bWw8p,1,1,2022-04-23 01:02:28+00:00
6,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/IbaPijrURu,0,0,2022-04-23 00:53:46+00:00
7,"$GOOG working its way into the top 20 most mentioned on wallstreetbets over the last 24 hoursVia  https://t.co/VPey0qMhPK",0,0,2022-04-23 00:23:07+00:00
8,"Being bearish hear is like being bullish 4 mths ago
Stock market always reverse!
Sometimes it takes longer but even  https://t.co/GfcDMPEzYr",0,0,2022-04-22 22:03:20+00:00
9,hopefully #aapl #msft #amzn #goog  can hold on till 4/28 https://t.co/cW1bdJiJW3,0,0,2022-04-22 20:49:08+00:00
10,"Friday Apr,22
$GOOG #Google #GOOG closing price: 2.392,28 USD
CALL Premiun: 3,00 p/c (300,00 USD)
PUT Premiun: 3,00  https://t.co/OhTJUefrOQ",0,0,2022-04-22 20:09:17+00:00
11,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/VcAfLyGR0C,0,0,2022-04-22 18:53:46+00:00
12,Buying #NVDA at $195. #GOOG at $2380.,0,0,2022-04-22 18:29:18+00:00
13,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/789xTPPbgQ,0,0,2022-04-22 18:24:06+00:00
14,"Amid growing inequity, Apple workers at New York s Grand Central store take steps to unionize 

$AAPL $SBUX $AMZN  https://t.co/g4HChHPYry",1,0,2022-04-22 18:00:56+00:00
15,What a beating today!!..#goog,0,0,2022-04-22 16:41:22+00:00
16,We need the big boys to save the market #aapl #goog #amzn #msft,0,0,2022-04-22 16:24:31+00:00
