,text,favourite_count,retweet_count,created_at
0,"Celebrating 11 years of #Ko  
Tollywood Best Uh Film 

@JiivaOfficial  #KVAnand 
@Jharrisjayaraj @karthikanair9  https://t.co/B4dAGWSBJG",0,0,2022-04-22 08:38:06+00:00
1,Celebrating #11YearsofKO one of the biggest blockbuster from Tamil Cinema. @JiivaOfficial @KarthikaNair9 @PiaBajpai  https://t.co/vhJC8H4OVt,1,0,2022-04-22 08:18:38+00:00
2,@davidobrother Yawns.... All these ranters no concern me. My problem Na the 20k wey I urgently be my problem right  https://t.co/SgjCz6YXA0,0,0,2022-04-22 07:59:44+00:00
3,"Celebrating 11 years of #Ko  

@JiivaOfficial  #KVAnand 
@Jharrisjayaraj @karthikanair9 @PiaBajpai #Ajmal  https://t.co/ya5FeaJSiO",83,7,2022-04-22 05:51:15+00:00
4,"How And Where To Buy KO RUNE - https://t.co/ZDm1pSh5IQ (KO) - Step By Step Guide

$KO #KORUNE-Rune.Game #KO  https://t.co/4SfAOjdxtf",0,0,2022-04-22 05:17:05+00:00
5,"  Welcome the second member of K.O, Anthony (   ) ! 

2/6 roles are taken!

audition threw google forms in our b  https://t.co/61dUgVyvn0",0,0,2022-04-22 05:13:58+00:00
6,"Are you still in waiting? 

Journey to the moon has just started  
Join the family of 9000+ Koubekian   https://t.co/RmAYv4OyPa",18,2,2022-04-22 04:06:21+00:00
7,"Super quick drawing this morning of Cornelian getting smacked with a fish.
#DnD #KO #lol https://t.co/I4yReB2lS4",2,1,2022-04-22 03:48:40+00:00
8,HOME SWEET HOME #KO TIME,0,0,2022-04-22 03:13:10+00:00
9,"Wholesome fight  
Thoughts  
#KO #Knockout #Streetfight #fight #fightvids #fightvideos #hoodfights #hoodfight  https://t.co/ZUqTxi0nsa",33,0,2022-04-22 02:16:31+00:00
10,"#KO #Knockout #Streetfight #fight #fightvids #fightvideos #hoodfights #hoodfight 
#fightpage #fights #hoodmemes  https://t.co/oPNTkBRF1v",2,0,2022-04-22 02:06:37+00:00
11,Break Me (feat. K.O.) https://t.co/OdA8fwt7dl via @YouTube #WDMV362RADIO BRAND NEW #Sunstone x #KO #Ultima LISTEN U  https://t.co/0qNgND3KmF,0,0,2022-04-22 01:35:32+00:00
12,@MyFirstBurner1 Gator went tap tap to those cops #KO d  ,1,0,2022-04-22 00:46:38+00:00
13,"Dayum   

#KO #Knockout #fight #fightvids #fightvideos #streetfight https://t.co/f0gA0T5VyW",317,14,2022-04-21 23:56:22+00:00
14,"Hey!! 8.5x11 Art Prints are now available in my Ko-fi Shop!! https://t.co/4X4vfhpO3j
#ko-fi #artprints #forsale  https://t.co/yV7OP3O6HF",1,0,2022-04-21 23:33:22+00:00
15,"#weekend2 #coachella / Week one tried to take me out, but I m back to #KO this #bag like #miketyson   #festival  https://t.co/1pHYdp2mLl",0,0,2022-04-21 23:29:08+00:00
16,"TONIGHT AT MIDNIGHT!!! Get ya playlists ready  
#NewMusicFriday #purple #KO https://t.co/JosSgH9ug9",0,0,2022-04-21 23:28:25+00:00
17,"///
Selador Sessions 153 | 
@djAnthonyPappa 
bY  @SeladorRecs
---------------------
#HouseMusic/#Technomusic  https://t.co/QLNcd2UNM5",0,0,2022-04-21 23:03:47+00:00
18,"A Dialectic Perspective on the Evolution of Thesauri and Ontologies 

Maziar Amirhosseini

Available at:  https://t.co/bd1DiOCoei",0,0,2022-04-21 23:00:00+00:00
19,"Even WORSE the Niger guy called her his lockdown snack...  

#KO! #DONE!  

GAME OVER!",0,0,2022-04-21 22:32:59+00:00
20,"It's not a good look if you're a #fighter...
and nearly get knocked out...
by your BREAKFAST. 

#Knockouts #KO  https://t.co/EzTLxdQmSj",0,0,2022-04-21 22:01:49+00:00
21," BITCH!!!  Slammed his ass lol
Thoughts  
#KO #Knockout #Streetfight #fight #fightvids #fightvideos #hoodfights  https://t.co/N69DwDMH7Y",21,0,2022-04-21 21:36:29+00:00
22,"Bro was still standing after those head shots Thoughts 
#KO #Knockout #Streetfight #fight #fightvids #fightvideos  https://t.co/VkwmKtycJN",23,2,2022-04-21 21:35:49+00:00
23,"Cop was draggin they shit  
Thoughts  
#KO #Knockout #Streetfight #fight #fightvids #fightvideos #hoodfights  https://t.co/m0kGZCfvSn",31,2,2022-04-21 21:34:11+00:00
24,"Damn had bro doggy style 

Thoughts  
#KO #Knockout #Streetfight #fight #fightvids #fightvideos #hoodfights  https://t.co/Fd5pBsHVr6",53,0,2022-04-21 21:33:17+00:00
25,"Damn big boy got hands
 
Thoughts  
#KO #Knockout #Streetfight #fight #fightvids #fightvideos #hoodfights  https://t.co/goAnyUVFbI",26,1,2022-04-21 21:32:46+00:00
26,"Acting tuff goes wrong  
Thoughts  
#KO #Knockout #Streetfight #fight #fightvids #fightvideos #hoodfights  https://t.co/zm0UrBooUJ",28,1,2022-04-21 21:31:39+00:00
27,"Thoughts 
Ash VS Jango Fett
(Apex Legends VS Star Wars)

#Fanart #ConceptArt #Concepts #MatchUps #Fights #Cartoon  https://t.co/Lq3az2mLnq",0,0,2022-04-21 20:42:58+00:00
28,"Check out my #KO https://t.co/JtY2FFTA4r 

CocaCola. Yes if this one drops mucho well then the end is near...:) Can  https://t.co/ZImXq1Y1dl",5,0,2022-04-21 19:18:57+00:00
29,"Day 882

I want #KevinOwens #WWE #Undisputed #Universal Champion in the Main Event of #WrestleMania39 @WWE  https://t.co/UZqpmVpWiy",1,0,2022-04-21 18:47:39+00:00
30,"Sheesh....that boy caught them hands from #IronMikeTyson on the #airplane .
He still #RockEmSockEm #KO!",1,0,2022-04-21 16:53:10+00:00
31,"#KO the volume was pretty normal, similarly to recent days: 11,764,545 shares traded. The 20-day average volume is  https://t.co/8sapd65d8v",0,0,2022-04-21 16:09:30+00:00
