,text,favourite_count,retweet_count,created_at
0,Check out my #MSFT analysis on @TradingView: https://t.co/hOg5spw2Ls,0,0,2022-04-25 00:24:34+00:00
1,"Biggest earnings week of the quarter coming up. Be ready for overreactions by the market, times like these are usua  https://t.co/QqRgq8gsJK",0,0,2022-04-24 23:15:51+00:00
2,"Market traders use the weekend and head to the #TRICKTRADES https://t.co/vgGHRshwmT

#Youtube channel, actual profe  https://t.co/U07hbDgjOM",0,0,2022-04-24 22:20:27+00:00
3,"It is not looking good for #BigTech 
Zone of 6776 and 6812 will give a short support with bounce up before we go de  https://t.co/FZFWVCcNVC",0,0,2022-04-24 21:45:46+00:00
4,"#Earnings releases for the week April 25, 2022 are Meta Platforms #FB, Apple #AAPL, Microsoft #MSFT, Amazon #AMZN,  https://t.co/feeftLh9aH",0,0,2022-04-24 17:50:29+00:00
5,Next weeks favorite long #msft #goog #fb #amzn for the #trade,0,0,2022-04-24 17:10:36+00:00
6,Next weeks favorite short #msft #goog #fb #amzn for the #trade,0,0,2022-04-24 17:09:26+00:00
7,What is your favorite #short play and #long play for next week out of: #ko #msft #goog #spot #fb #nok #amzn #roku  https://t.co/ZeJreU1Lcx,0,0,2022-04-24 17:07:17+00:00
8,@adamhoov Let's start a rally on shorting #MSFT  ,0,0,2022-04-24 17:06:29+00:00
9,@squawksquare Start a short rally against #MSFT  ,0,0,2022-04-24 17:05:25+00:00
10,"I m watching is $MSFT 100 EMA on the weekly.

MSFT hasn t closed below the 100 EMA on the weekly since 2013. This 1  https://t.co/78sbkiUt0u",1,0,2022-04-24 16:50:58+00:00
11,"Happy Sunday!

*Here Are My #Top5ThingsToKnowThisWeek:

- #AAPL #MSFT #AMZN  #GOOGLE #FB Earnings
- #TWTR #INTC  https://t.co/foxPeOpOY5",0,0,2022-04-24 16:48:31+00:00
12,"#MSFT target 2..3 weeks 

#stock #spx #dxy #tech https://t.co/rfZB9Avmvt",0,0,2022-04-24 16:19:10+00:00
13,@KingJames Love   #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA ,0,0,2022-04-24 15:18:31+00:00
14,@1goonrich Yes! Love   #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA ,2,0,2022-04-24 15:17:40+00:00
15,"Rumors of Fed adding 75 basis point, has the market priced in yet? 

https://t.co/ICIP4rdul2

#nasdaq #goog #appl  https://t.co/rXTWKaAEBY",0,0,2022-04-24 15:12:02+00:00
16,"Time for techs to report earnings. $AAPL, $AMZN, $GOOG, $GOOGL, $MSFT, and $FB report this week.

#AAPL #apple  https://t.co/gHysqlvGGM",4,1,2022-04-24 14:49:03+00:00
17,HOW TO QUIT YOUR DAY JOB BY WRITING STOCK OPTIONS 4 FOR 3 OPTION CLASS DEAL! https://t.co/pQvRYuZdvJ #stonks  https://t.co/TYxeGTMhWV,3,1,2022-04-24 12:16:34+00:00
18,"The market is so bad now, FAAMG has released financial reports one after another, let us wait and see!
$TSLA #AAPL #MSFT #FB  #amzn #Google",0,0,2022-04-24 11:23:40+00:00
19,"$TSLA
@elonmusk 

Whos up for a #MSFT short?",0,0,2022-04-24 11:18:26+00:00
20,"Planning to add dividend technology stocks in portfolio. Current portfolio have more growth stocks.
#AAPL #msft  https://t.co/X93IOSUs3r",1,0,2022-04-24 10:53:17+00:00
21,"$MSFT working its way into the top 20 most mentioned on wallstreetbets over the last 24 hoursVia  https://t.co/8nLDoJCR0v",0,0,2022-04-24 10:18:56+00:00
22,"My first *real* experience in a market which only has one colour, my portfolio anyways..
But I'm enjoying picking u  https://t.co/U5kzNs2qZ9",0,0,2022-04-24 09:28:57+00:00
23,@NicolasAnamour @Gambiste1 @elonmusk Will we see a global coming together to short #MSFT for next week's earnings?  https://t.co/faoVYot7g9,1,0,2022-04-24 08:17:21+00:00
24,@coolcrushes Love   #AITX #ai #APPL #MSFT #cheems $AITX #BTC #ETH $BTC $ETH #TSLA ,0,0,2022-04-24 06:47:33+00:00
25,@ZaneTrades86 @unusual_whales But #MSFT doesn t benefit from @BillGates personal investments. So the play would be  https://t.co/TnVfibfbJo,0,0,2022-04-24 06:39:29+00:00
26,@discriminated09 @prems_tweet @USIRCOnline @DNC @Ilhan @SpeakerPelosi @BradSherman @RoKhanna @LindseyGrahamSC Don't  https://t.co/rmZ5WRxHss,1,0,2022-04-24 03:38:38+00:00
27,@Degen808 11:11PM Make a wish to #SHORT #MSFT,0,0,2022-04-24 03:11:34+00:00
28,"  Power to the Players  
@ryancohen @TheRoaringKitty
#GMErica #GMEtothemoon #GameStop #powertotheplayers $GME #GME  https://t.co/kqLFBV0ESu",2,0,2022-04-24 01:49:47+00:00
29,"$MSFT seeing an uptick in chatter on wallstreetbets over the last 24 hoursVia https://t.co/2V8CqVLYHM#msft  https://t.co/RdWKEgSbMa",0,0,2022-04-23 23:57:29+00:00
30,@billgates im so happy i never paid for any copies of windows now.  #MSFT #tesla,1,0,2022-04-23 22:41:39+00:00
31,@elonmusk should short #MSFT... or just buy em out and integrate $TSLA with #Xbox  ,0,0,2022-04-23 20:53:53+00:00
32,So @BillGates is shorting a company that is solving #climatechange ??? Is it #greed or #envy.  Hmmm   let s all sho  https://t.co/GNwwKoue7S,0,0,2022-04-23 20:52:25+00:00
33,Earnings this week. Alot to watch. This week will probably set the tone for the next 10 days or so until the FOMC m  https://t.co/f6un4zV2nF,0,0,2022-04-23 19:39:37+00:00
34,@PPathole @elonmusk Short #MSFT is a much more obvious trade. There is nothing Green about software  ,0,0,2022-04-23 19:25:10+00:00
35,"$MSFT one of the most mentioned on wallstreetbets over the last 24 hoursVia https://t.co/2V8CqVLYHM#msft  https://t.co/UFpEfnvyC4",0,0,2022-04-23 18:56:57+00:00
36,"Semana 18/04 al 22/04:

Meta (FB): -12,40%
Apple: -2,12%
Amazon: -4,85%
Netflix: -36,82%
Google: -6,00%
Microsoft:  https://t.co/wTrzhtWmAE",0,0,2022-04-23 17:08:50+00:00
