,text,favourite_count,retweet_count,created_at
0,"NVIDIA CORP: We entered a 2022-04-29 call, $182.50 strike, with a limit buy. We fully exited in 3 hours by limit sa  https://t.co/5fPpeDBP0t",0,0,2022-04-29 13:45:31+00:00
1,#amd #nvda let's go  #bullmarket,0,0,2022-04-29 13:37:28+00:00
2,Today's market opens w/ 21 upgrades &amp; 178 downgrades from ~3000 #stocks &amp; #ETFs on https://t.co/3ZIM7lLmjQ with unb  https://t.co/q3X8ciU434,1,1,2022-04-29 13:18:20+00:00
3,4/28 Daily Watchlist Recap #TSLA #AMZN #ABNB #AMD #BAC #CVX #DIS #GOOGL #IWM #MCD #NVDA #QQQ #OptionsTrading  https://t.co/u52qvZdXzZ,0,0,2022-04-29 13:06:21+00:00
4,"C2H - Lead Digital Accessibility Engineer (JavaScript, Angular, Agile, WCAG, JAWS, NVDA) - Remote  https://t.co/4b2rla0L5f",4,1,2022-04-29 12:56:48+00:00
5,Today we had the real GDP Q1 2022 Advance Estimate growth rate come out at -1.4% Not only is our economy slowing do  https://t.co/1mOthapLYX,0,0,2022-04-29 06:07:34+00:00
6,$NVDA confirmed lower low sequence since November-2021 peak calling for further short term weakness. It expect to c  https://t.co/f3XLrgz0BM,0,1,2022-04-29 04:20:56+00:00
7,"#NVDA made a bottoming formation - is it time for a reversal? 
$NVDA

https://t.co/ze7K27beT1 https://t.co/aY6V4s3Gwp",3,0,2022-04-29 03:06:29+00:00
8,$SPX $QQQ $DJIA: $SMH $SOXX $XSD #NVDA #AMD #ADI #MU  #semiconductor - all retracing to ~ 0.5 FIB from initial thru  https://t.co/MXKHiJDP5e,0,0,2022-04-29 01:50:02+00:00
9,$SPX $QQQ $DJIA: $SMH $SOXX $XSD #NVDA #AMD #ADI #MU  #semiconductor - all retracing to ~ 0.5 FIB from initial thru  https://t.co/MknlMVGssY,0,0,2022-04-29 00:11:50+00:00
10,"NVIDIA Corporation (#NVDA) closed at 197.82, score +194, credit rating A",0,0,2022-04-28 21:20:21+00:00
11,"Made $383 on 4/28/2022. Watch Me Day Trade on YouTube. Link in bio...

#daytrading #trading #watchMeDayTrade  https://t.co/sP4oIy3GL1",0,0,2022-04-28 20:53:23+00:00
12,"$NVDA working its way into the top 20 most mentioned on wallstreetbets over the last 7 daysVia  https://t.co/2t8TNStPUU",0,0,2022-04-28 19:22:26+00:00
13,"MOVERS, Session Gainers by Vol.

$TQQQ #TQQQ 
$FB #FB 
$SOXL #SOXL 
$NVDA #NVDA 
$PYPL #PYPL 
$QCOM #QCOM 
$PINS  https://t.co/yCCv24Elko",0,0,2022-04-28 19:02:08+00:00
14,"https://t.co/t6kVcSK6IH

Stock market:
$FB +18.08%  
$QCOM +9.9%  
$TMO +8.96%  
$NVDA +7.76%  

$CMCSA -5.32%   https://t.co/Sk96xNaOd3",0,0,2022-04-28 19:00:02+00:00
15,"MOVERS, Session Gainers by Vol.

$TQQQ #TQQQ 
$FB #FB 
$SOXL #SOXL 
$NVDA #NVDA 
$PYPL #PYPL 
$QCOM #QCOM 
$PINS  https://t.co/ybYljJvdGy",0,0,2022-04-28 18:59:47+00:00
16,"#NVDA - $198, tested nearest support level $187, above $210-230, back to business, nice candle today like the good  https://t.co/Sis3nCqVlx",1,0,2022-04-28 18:53:07+00:00
17,"#NVDA Short volume % today is: 43.70%
https://t.co/ndZIjIOhP5
Try our new intuitive free stock screener on  https://t.co/DGfKJB9Ssf",0,0,2022-04-28 18:49:51+00:00
18,"  Scan as of 1:30pm CST  RUNNERS WITH HIGH RELATIVE VOLUME  04/28/2022

$STAB #STAB 
$FB #FB 
$AAPL #AAPL 
$AMD  https://t.co/LZkQrJodYt",0,0,2022-04-28 18:46:20+00:00
19,"SOXL is up 17%! and the SMH up 6%.
I CALLED THIS YESTERDAY in my DAILY stock market review   https://t.co/ksAmeDi7FG",1,0,2022-04-28 18:44:40+00:00
20,"  Scan as of 1:30pm CST  RUNNERS WITH HIGH RELATIVE VOLUME  04/28/2022

$STAB #STAB 
$FB #FB 
$AAPL #AAPL 
$AMD  https://t.co/EIFvzxbNhs",0,0,2022-04-28 18:42:36+00:00
21,@NividaWeb hmu for your @ensdomains #NVDA.eth,0,0,2022-04-28 18:13:26+00:00
22,Happy @CNBC #Stockdraft day! Good luck teams. Here s a  Flash Back  to when Team Flash Gordon from 2018 picked Tesl  https://t.co/NbTCWBRKJp,2,0,2022-04-28 18:12:34+00:00
23,"#NVDA The P/E ratio is 142.3333, considerably higher than the sector median, making this stock a very expensive buy  https://t.co/0nnwIf4pPj",0,0,2022-04-28 17:18:26+00:00
24,Thoughts on $NVDA #NVDA! See MoneyFishing's idea on TradingView below. https://t.co/0Tti7RnPdT,0,0,2022-04-28 15:35:12+00:00
25,"$NVDA #nvda 
Current NVDA Analyst Ratings
Here is the current analyst rating distribution for NVDA. In total there  https://t.co/h6CQe0UOO3",0,0,2022-04-28 15:16:30+00:00
26,"+$110 in 30 minutes | Small Account Trade Log
NVDA went straight up on market open but followed by sharp downturn a  https://t.co/9LHWzkzdWM",0,0,2022-04-28 14:17:19+00:00
27,"C2H - Lead Digital Accessibility Engineer (JavaScript, Angular, Agile, WCAG, JAWS, NVDA) - Remote  https://t.co/mNcgGvY5Gt",1,2,2022-04-28 14:00:40+00:00
28,"C2H - Lead Digital Accessibility Engineer (JavaScript, Angular, Agile, WCAG, JAWS, NVDA) - Remote  https://t.co/zpvFFL80Z5",3,3,2022-04-28 13:15:12+00:00
29,"The Association of Clinical Psychologists recognises the importance of #NVDA during this unprecedented emergency,.  https://t.co/YL2HsOvO7v",182,72,2022-04-28 13:10:20+00:00
30,"$NVDA #NVDA

NVDA - Recent Analyst Upgrade to Buy and Successful Fund Still Holding

https://t.co/sf5bbjOEng",0,0,2022-04-28 13:01:44+00:00
31,"C2H - Lead Digital Accessibility Engineer (JavaScript, Angular, Agile, WCAG, JAWS, NVDA) - Remote  https://t.co/VwQk0XjvWI",1,2,2022-04-28 12:54:13+00:00
32,4/28 Daily Watchlist #TSLA #AMZN #ABNB #AMD #BAC #CVX #DIS #GOOGL #IWM #MCD #NVDA #QQQ #OptionsTrading  https://t.co/DkF0DfmQnm,0,0,2022-04-28 12:26:19+00:00
33,Thoughts on $NVDA #NVDA! See VaidoVeek's idea on TradingView below. https://t.co/tTYOECZRCG,0,0,2022-04-28 11:35:13+00:00
34,Thoughts on $NVDA #NVDA! See jasonmwilliamson79's idea on TradingView below. https://t.co/rzzwySRU80,0,0,2022-04-28 11:05:13+00:00
35,"$NVDA seeing sustained chatter on wallstreetbets over the last few daysVia https://t.co/OPL1OPSbnQ#nvda  https://t.co/reFsT0xxls",0,0,2022-04-28 04:48:27+00:00
36,"3 tech stocks thats looking real good right now. 
#INTC
#AMD
#NVDA",0,0,2022-04-28 03:39:28+00:00
37,"$NVDA #NVDA

NVDA - Recent Analyst Upgrade to Buy and Successful Fund Still Holding.

https://t.co/sf5bbjOEng",0,0,2022-04-28 00:48:52+00:00
38,Thoughts on $NVDA #NVDA! See Vibranium_Capital's idea on TradingView below. https://t.co/5kFJfq7h5F,0,0,2022-04-28 00:20:13+00:00
39,"#NVDA $NVDA  below trend resistance again, but we can easily climb back above and rally.

once we can climb back ab  https://t.co/cAFcnYH3kg",7,0,2022-04-27 23:40:08+00:00
40,"$NVDA was the 14th most mentioned on wallstreetbets over the last 7 daysVia https://t.co/OPL1OPSbnQ#nvda  https://t.co/VrB6HGUMmi",0,0,2022-04-27 22:07:16+00:00
41,Tune in now for our live post-market recap and prep for tomorrow's trading day! #SPY #IWM #QQQ #AMC #GME #ETH #BTC  https://t.co/CpYtEyaPxH,0,0,2022-04-27 20:35:38+00:00
42,"$DWAC closed today above a very important harmonic. To learn how important, follow us, subscribe to our YouTube cha  https://t.co/jSAHS7TG1N",0,0,2022-04-27 20:33:36+00:00
43,"$NVDA working its way into the top 20 most mentioned on wallstreetbets over the last 7 daysVia  https://t.co/7vYDoKyIDd",0,0,2022-04-27 20:16:50+00:00
44,I was considering adding #nvda and #amd today but . https://t.co/FgZq5xwIyh,0,0,2022-04-27 19:22:50+00:00
45,"If you want to get 30 minutes worth of macro data in less than 3 minutes, watch every @CMEActiveTrader Today's Need  https://t.co/Cc5Z3Eo8FY",1,2,2022-04-27 17:09:36+00:00
46,"below $200  Its a long way to the next demand level. #NVDA, above $200 will be a false breakdown. 

#riskmanagement  https://t.co/QeZF3YXAeN",1,0,2022-04-27 16:10:51+00:00
47,Thoughts on $NVDA #NVDA! See nobullshytrader0's idea on TradingView below. https://t.co/BXGW91oBDw,0,0,2022-04-27 16:05:18+00:00
48,"Interesting POTENTIAL setups in $SPY and $QQQ. If you don't know how to trade these setups, follow us here, subscri  https://t.co/wZySOkjBN5",0,0,2022-04-27 15:21:33+00:00
49,Thoughts on $NVDA #NVDA! See Hiddenharmonicstrading's idea on TradingView below. https://t.co/dEXjLb0dOp,0,0,2022-04-27 15:20:14+00:00
50,"$NVDA #NVDA

NVDA - Recent Analyst Upgrade to Buy and Successful Fund Still Holding

https://t.co/sf5bbjOEng",0,0,2022-04-27 13:08:45+00:00
