,text,favourite_count,retweet_count,created_at
0,"$PFE  8-K  Pfizer   (20 Apr, 4:41pm)

  Results of Operations and Financial Condition

https://t.co/AncVZYJiPU

#PFE #8K #Pfizer #News",0,0,2022-04-20 20:46:54+00:00
1,"https://t.co/t6kVcSK6IH

Stock market:
$RELIANCE.NS +3.81%  
$NKE +3.67%  
$JNJ +3.23%  
$DIS +3.11%  

$PRX.AS -4.  https://t.co/KSDITm6c4I",0,0,2022-04-19 19:00:02+00:00
2,"Japan Approves Novavax COVID-19 Booster Vaccine
https://t.co/bLTchs0qII
#NVAX #PFE https://t.co/5VD861jSov",1,0,2022-04-19 16:30:58+00:00
3,Made a bet with a friend yesterday that either Pfizer $PFE or Moderna $mRNA will drop by at least 40% by 31st Dec 2  https://t.co/G9wKoreXNY,0,0,2022-04-19 12:39:55+00:00
4,#PFE triggered off daily reversal and already looking good weekly to the downside. #TheStrat https://t.co/j5IGqMZmko,0,0,2022-04-18 15:08:11+00:00
5,What is your sentmiment on $PFE #PFE this week? #wallstreetmooners #StockWatch #wallstreetmooners  https://t.co/scsfnkUVOO,0,0,2022-04-18 13:26:08+00:00
6,"What stocks does everybody like this week?

And don't say #Twitter 
Still #HODL #PFE #Pfizer 
#Paypal is way down..  https://t.co/aE4f5kP36o",1,0,2022-04-17 23:18:42+00:00
7,@DowdEdward @bendo2037 @andrew7rd @ReadyToStand4US @Paragon_guy @LISAWAL49332466 @kikiy75 I have puts on #PFE,2,0,2022-04-16 19:40:24+00:00
8,@DrEricDing It is not as effective to boost using the same mrna vaccine.  The best combinations are mrna and protei  https://t.co/8D6C7Yt7eu,0,0,2022-04-16 13:52:01+00:00
9,"Incredible video Re: Shanghai COVID lockdown 

More Chinese cities tighten controls as ----&gt; Shanghai COVID cases  https://t.co/CSmuI9Ss0N",0,0,2022-04-16 13:28:48+00:00
10,"China's -------&gt;  extreme COVID lockdown for 25 million people in Shanghai

MUST SEE VIDEO 

23,000 -------&gt;  NEW  https://t.co/P4vNarVNFQ",2,1,2022-04-16 12:25:00+00:00
11,Completely absurd! $OCGN another fuckery by @US_FDA @WHO all so #PFE #MRNA can fill up their pockets!  Sick manipul  https://t.co/QCwu7CMYwG,15,4,2022-04-15 10:25:33+00:00
12,"$PFE Pfizer, Inc.: Reference Price 53.73, 1 Year Prediction 43.36, Potential -19.0%, #PFE",0,0,2022-04-14 19:27:38+00:00
13,1. Do you have a LIMS opinion about SapioSciences https://t.co/1n9AA643T2 for High Throughput and Next Generation S  https://t.co/F0dHBeGhEa,0,0,2022-04-14 18:58:51+00:00
14,#PFE analysis on @TradingView: https://t.co/4RnLNTZR9G -- longed...,0,0,2022-04-14 14:48:39+00:00
15,"S&amp;P 500 Technical Analysis  

Inverted Head &amp; Shoulders + Blue 50% + RSI at Support
https://t.co/tDvfdQoeFL  https://t.co/Z9XkC7pKFm",2,0,2022-04-14 14:21:04+00:00
16,NEW G-LLOYD 5 FIGURE INTERVIEW OUT NOW  Big Shouts To @Jacuzzi_Ghost LINK IN BIO #HipHop #Music #Artist #Indie  https://t.co/PzSOMMY6ry,0,1,2022-04-14 13:16:52+00:00
17,"In OUS news...more on smart phone apps/power of digital health in our dynamic healthcare environment, this example,  https://t.co/XLHlvildb9",0,0,2022-04-14 11:05:57+00:00
18,"Halozyme to Acquire Antares Pharma in $960M Deal
https://t.co/29thUWUotx
#HALO #PFE https://t.co/8gIiPGxFtL",0,0,2022-04-13 12:01:09+00:00
19,fr_tradingview: #PFE - PFE BUY - TradingView - https://t.co/s4QxS8ZN0C,0,0,2022-04-13 07:36:17+00:00
