,text,favourite_count,retweet_count,created_at
0,"Camera Body - Fujifilm X-T4 
@FujifilmRu @FujifilmJP_X @FujifilmX_US @fujifilmph @Fujifilm_ID @FujifilmX_DE  https://t.co/Rekfea0ivh",0,0,2022-04-21 03:29:31+00:00
1,"untitled
#korea
#snap
#photography
https://t.co/az8kjwDpyF https://t.co/1nn7jn5HM9",0,1,2022-04-21 02:13:53+00:00
2,"$SNAP one of the most mentioned on wallstreetbets over the last 24 hoursVia https://t.co/1RbEYneIYA#snap  https://t.co/CMdGG1s6sL",0,0,2022-04-21 02:13:37+00:00
3,Anyone down to trade stuff on snapchat? Horny again haha just DM me #jakol #snap,9,0,2022-04-21 01:55:14+00:00
4,"$SNA's price moved above its 50-day Moving Average on April 11, 2022. View odds for this and other indicators:  https://t.co/QnX9NsoBgA",0,0,2022-04-21 01:31:11+00:00
5,At what age do you stop creating new social media accounts? Can I trade in my #facebook and #snap for a #tiktok?,2,0,2022-04-21 01:08:33+00:00
6,"Rockin in the canyons 
Angeles Landing - Zion, Utah
-
 #photography  #travelphotography #explorepage  #snap  https://t.co/pTGIxdFNJz",0,0,2022-04-21 00:55:42+00:00
7,"@lorenanthes Amen to this!  Key call center metrics to watch are: (1) call answer / abandon rates, (2) avg time to  https://t.co/b9gIwvQiDE",1,0,2022-04-21 00:05:59+00:00
8,"Did someone say extra cheese   with their pizza?!  
.
.
#SNAP #SnapCustomPizza #pizzalovers #cheesepizza https://t.co/b5TjI364t9",0,0,2022-04-21 00:00:47+00:00
9,"Hey babe, daddy is really horny rn, come dm me or add me on snapchat : Nathandeloroy dont make me wait #dm #horny #snap",0,0,2022-04-20 23:54:58+00:00
10,"Times Square was poppin, always love the atmosphere. ""Concrete Jungle""
New York, New York
-
-#photography  https://t.co/vn7E6wEm3J",1,0,2022-04-20 23:45:27+00:00
11,"As #ALICECHILDREN and their families face rising food prices, they re often locked out of supports that address  https://t.co/UeZCYwgUyO",0,0,2022-04-20 23:15:02+00:00
