,text,favourite_count,retweet_count,created_at
0,$FRGE chokehold to finish the week lol still in the green. #stonks #gains #spy puts #robinhood account (small)  https://t.co/eQDcU33c6Y,0,0,2022-04-23 01:27:01+00:00
1,"(DLC2) HITMAN  (14. The Sarajevo Six-The Veteran (Bangkok Mission)) 
https://t.co/ddZYHfuq5r   @YouTube 
Game Diff  https://t.co/jLJ4Zf1dPB",1,0,2022-04-23 01:24:59+00:00
2,"Don't be one of those who get upset later. 
 $avax
 https://t.co/QDnQgYBbLO #dubai $nu #spy #ethereum $wimi https://t.co/9dpguGRcoI",0,0,2022-04-23 01:20:13+00:00
3,"Did anyone notice the big after hours spikes?  #UBER, #AAPL, #MSFT, #FB, #SPY, #NVDA, #F 
What was that?",0,0,2022-04-23 01:08:31+00:00
4,Anya doodles #anime #digitalart #illustration #anya #SPY FAMILY #fanart #anyafanart #cute #kawaii  https://t.co/iK2muenbjV,0,0,2022-04-23 00:58:43+00:00
5,Ummm WTF? HTF? WTF?! #SPY https://t.co/l44FMpSRMK,8,2,2022-04-23 00:54:48+00:00
6,Traded 2 days today. One was an earning day and the other was a learning day   #SPY #NVDA #UVXY,0,0,2022-04-23 00:52:17+00:00
7,My last thesis before this week vs EOW. Should have trusted myself! That strange earnings induced consolidation thr  https://t.co/7UlpalSqAL,3,0,2022-04-23 00:40:27+00:00
8,"$SPY working its way into the top 10 most mentioned on 4chan over the last 7 daysVia https://t.co/5IkMIPwPYL  https://t.co/LgpMU8sq9Y",0,0,2022-04-23 00:33:06+00:00
9,Why wasn t the market green in honor of earth day? #stocks #stockmarket #SPY #qqq #NASDAQ #investment #EarthDay2022,0,0,2022-04-23 00:28:18+00:00
10,"doesn t seem to be much resistance to knifing right through it. that s bloody   

$PY #SPY https://t.co/knsYKfHjy9 https://t.co/rfdWwb1Ckb",1,0,2022-04-23 00:26:28+00:00
11,"Me giving Fire plays to my peeps all the time and not being in them ,watching from  the Bench #OptionsTrading  #SPY  https://t.co/edHulMu6IC",0,0,2022-04-23 00:24:58+00:00
12,Investment Banking at its Best ... #banking #market #stockmarket #hedgefunds #stocks #options #crypto #spy https://t.co/pEQxbCJQpF,0,0,2022-04-23 00:23:48+00:00
13,$SPY - #SPY chart on @TradingView https://t.co/H9I5Zs7jkC,1,0,2022-04-23 00:16:10+00:00
14,$SPY still going exactly to plan. Think we have another week of red and then probably a retest pump after FOMC. Let  https://t.co/qZHP97qFIz,0,0,2022-04-23 00:10:00+00:00
15,If this classic technical analysis H&amp;S pattern plays out like in the text books you're looking at a downside target  https://t.co/VPs6hLeuX8,0,0,2022-04-23 00:06:41+00:00
