,text,favourite_count,retweet_count,created_at
0,The best thing about ETFs $VOO #VOO https://t.co/jHzIfPN7Z5,0,0,2022-04-22 04:08:32+00:00
1,"HEAT MAP-US major Index / Stocks (2022.04.21)
https://t.co/wkb8iQCmNb #  #  #  #  #USIndex #VTI  https://t.co/MBnwbvnbhr",0,1,2022-04-21 22:21:48+00:00
2,Crypto is my first https://t.co/bSnixrDpbZ i will try #VOO or #VTI,0,0,2022-04-21 12:11:53+00:00
3,"I often get asked why I don t have a lot of individual companies within my portfolio, and I am reminded constantly  https://t.co/IN0DpLN8jn",3,0,2022-04-21 11:09:48+00:00
4,Crypto is my first https://t.co/bSnixrUsdZ i will try #VOO or #VTI,0,0,2022-04-21 06:11:55+00:00
5,"HEAT MAP-US major Index / Stocks (2022.04.20)
https://t.co/wkb8iQCmNb #  #  #  #  #USIndex #VTI  https://t.co/OHEUY5MwbS",1,1,2022-04-20 23:15:01+00:00
6,"Can Solana Flip Ethereum? | Phantom Wallet Launches Mobile App https://t.co/ndiVgYApm0 via @YouTube

#ADA #Solana  https://t.co/VmndOobncI",0,0,2022-04-20 02:46:55+00:00
7,"Solana Has HUGE POTENTIAL For 2022 (SOL Price Prediction) https://t.co/9raDbykhuY via @YouTube

#ADA #Solana  https://t.co/Y6IRkatyNS",0,0,2022-04-20 02:44:43+00:00
8,SOLANA ANALYSIS!! SOL Set To Explode!?   https://t.co/XTjezjpSKt via @YouTube #ADA #Solana #Ethereum #AVAX  #LUNA  https://t.co/pYg4SfBPr5,0,0,2022-04-20 02:43:25+00:00
9,How to Retire on SOLANA by 2026 in top 12 Global Retirement Destinations https://t.co/BJtkkbh6Ez via @YouTube #ADA  https://t.co/GFbMMcphxR,1,0,2022-04-20 02:40:48+00:00
10,"Market Update: Can #Solana hit $5,000? ETH to $7500? Bitcoin, DeFi  and ... https://t.co/4uYBLQHAW4 via @YouTube  https://t.co/P0tmeOCIpO",0,0,2022-04-20 02:40:13+00:00
11,"Solana: Could SOL Hit $1,000?! DEEP DIVE!!   https://t.co/nBvaghdbEe via @YouTube #ADA #Solana #Ethereum #AVAX  https://t.co/5YXbfbtEj9",0,0,2022-04-20 02:39:22+00:00
12,"Why You Need 83 Solana Today! | Solana (SOL) Staking and Price https://t.co/dQhhvltGdc via @YouTube
#ADA #Solana  https://t.co/WB6JwAkw7G",0,0,2022-04-20 02:38:11+00:00
13,"HEAT MAP-US major Index / Stocks (2022.04.19)
https://t.co/wkb8iQCmNb #  #  #  #  #USIndex #VTI  https://t.co/8MQNIReqFS",0,1,2022-04-19 23:25:57+00:00
14," Everyday!ETF 4/19
#VTI #  #ETF #VOO #QQQ https://t.co/ZAxWd6Ewo2",1,0,2022-04-19 22:15:00+00:00
15,"HEAT MAP-US major Index / Stocks (2022.04.18)
https://t.co/wkb8iQCmNb #  #  #  #  #USIndex #VTI  https://t.co/unlDdUldwd",2,1,2022-04-18 23:02:32+00:00
16," Everyday!ETF 4/18
#VTI #  #ETF #VOO #QQQ https://t.co/UtBLTRc922",0,0,2022-04-18 21:37:22+00:00
17,"$QQQ bouncing off the Jan 24th, 2022 lows. Could be a good near term trend information if we see a follow through G  https://t.co/B3smpPKTms",1,0,2022-04-18 18:38:35+00:00
18,@dmuthuk #VOO is all you need,1,0,2022-04-18 01:03:10+00:00
19,Crypto is my first https://t.co/bSnixrDpbZ i will try #VOO or #VTI,0,0,2022-04-17 00:01:41+00:00
20,Strong data suggesting that putting money into an ETF that tracks the S&amp;P 500 is the way to go. #voo #spy https://t.co/RXMRIWmmaK,1,0,2022-04-16 18:38:05+00:00
21,"HEAT MAP-US major Index / Stocks (2022.04.15)
https://t.co/wkb8iQCmNb #  #  #  #  #USIndex #VTI  https://t.co/R6z8LHiLuR",1,2,2022-04-16 01:12:46+00:00
22,Get you some #voo  they are majority shareholders in EVERYTHING voogle it  ,1,0,2022-04-15 15:55:29+00:00
23,What is your sentmiment on $VOO #VOO this week? #wallstreetmooners #StockWatch #wallstreetmooners  https://t.co/6Rg28KglsE,0,0,2022-04-15 13:26:05+00:00
24,"HEAT MAP-US major Index / Stocks (2022.04.14)
 
 #  #  #  #  #USIndex #VTI #VOO #QQQ #VT #GOOGL  https://t.co/Suh1RwMcps",0,0,2022-04-14 23:36:58+00:00
25," Everyday!ETF 4/14
#VTI #  #ETF #VOO #QQQ https://t.co/mewSBVqJ5c",1,0,2022-04-14 22:30:00+00:00
