,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,top stocks watch week apr stocks mentioned video apple,0,0,2022-04-25 00:19:42+00:00
1,1,aapl aapl sweep occurred rejection sigma rjb stdev also crosses sigma levels support,0,0,2022-04-24 23:52:52+00:00
2,2,aapl aapl w update moving lower towards support level line geocharting marketgeometry nextgentools,0,0,2022-04-24 23:36:59+00:00
3,3,lots big names earnings watching week stockmarket aapl twtr amzn fb msft spot,1,0,2022-04-24 23:18:18+00:00
4,4,market traders use weekend head tricktrades youtube channel actual profe,0,0,2022-04-24 22:20:27+00:00
5,5,expect volatile trading week w aapl amzn twtr fb xom mcd earnings week,1,0,2022-04-24 22:00:01+00:00
6,6,nasdaq critical point big tech names er week sitting supply zone,2,3,2022-04-24 21:56:21+00:00
7,7,mtoptions full recap twitter typing limit tgt calls spy puts aapl puts,2,0,2022-04-24 21:48:45+00:00
8,8,looking good bigtech zone give short support bounce go de,0,0,2022-04-24 21:45:46+00:00
9,9,apple aapl aapl interesting level,1,0,2022-04-24 21:29:40+00:00
10,10,aapl seeing sustained chatter wallstreetbets last days via aapl,0,0,2022-04-24 19:30:12+00:00
11,11,logyinn x pair trading strength eye opening,2,0,2022-04-24 19:28:54+00:00
12,12,check aapl analysis aapl room area rsi bearish r,1,0,2022-04-24 19:10:36+00:00
13,13,aapl might bite,0,0,2022-04-24 18:07:43+00:00
14,14,earnings releases week april meta platforms fb apple aapl microsoft msft amazon amzn,0,0,2022-04-24 17:50:29+00:00
15,15,aapl crash aapl stock stocks market investing aapl verge crash,36,0,2022-04-24 17:44:26+00:00
16,16,free aapl stocks left,0,0,2022-04-24 17:24:23+00:00
17,17,aapl bullish earning aapl chart,0,0,2022-04-24 17:07:14+00:00
18,18,happy sunday top thingstoknowthisweek aapl msft amzn google fb earnings twtr intc,0,0,2022-04-24 16:48:31+00:00
19,19,prepared take markets week watchlist created potential cat,1,1,2022-04-24 16:44:56+00:00
20,20,aapl aapl update,0,0,2022-04-24 16:28:58+00:00
21,21,bubble markers yet burst costco aapl come norm,0,0,2022-04-24 15:40:19+00:00
22,22,time techs report earnings aapl amzn goog googl msft fb report week aapl apple,4,1,2022-04-24 14:49:03+00:00
23,23,big five faang stock sector service posted sunday amzn aapl fb nflx tsla googl secto,0,2,2022-04-24 14:02:46+00:00
24,24,expecting stockmarket crash quitte months markets self correcting mechanism timing,0,0,2022-04-24 13:37:48+00:00
25,25,totally real give example latest reports aapl,0,0,2022-04-24 13:10:19+00:00
26,26,market bad faamg released financial reports one another let us wait see tsla aapl msft fb amzn google,0,0,2022-04-24 11:23:40+00:00
27,27,planning add dividend technology stocks portfolio current portfolio growth stocks aapl msft,1,0,2022-04-24 10:53:17+00:00
28,28,evs r exempt road tax registeration costs delhi,0,0,2022-04-24 09:34:34+00:00
29,29,dump aapl stocks apple products censor speech hate promoting moral preversion,1,0,2022-04-24 09:12:39+00:00
30,30,aapl th mentioned wallstreetbets last days via aapl,0,0,2022-04-24 06:38:19+00:00
31,31,seems faang stocks trouble googl fb nflx aapl aapl amzn support line,11,1,2022-04-24 06:36:03+00:00
32,32,apple aapl chart,1,0,2022-04-24 04:56:27+00:00
33,33,aapl puts monday optionstraders,0,0,2022-04-24 03:36:16+00:00
34,34,aapl prediction tomorrows predicted price current price aapl predicted dec,1,0,2022-04-23 23:06:13+00:00
35,35,stock market scam rigged manipulated groups people people decide,0,0,2022-04-23 20:33:49+00:00
36,36,necessarily always buy apple aapl tesla tsla years ago would h,0,0,2022-04-23 20:23:10+00:00
37,37,evercore isi analyst reiterates buy amit daryanani analyst evercore isi reiterates buy rating aapl,0,0,2022-04-23 19:00:28+00:00
38,38,semana al meta fb apple amazon netflix google microsoft,0,0,2022-04-23 17:08:50+00:00
39,39,huge payday short positions closed friday tgt car cat ulta stockmarket,0,0,2022-04-23 16:44:16+00:00
40,40,one many videos public youtube channel videos check one,7,1,2022-04-23 15:21:45+00:00
41,41,easily biggest earnings week quarter front us ko ups ge pep mm wm msft goog v gm ba,0,0,2022-04-23 13:51:11+00:00
42,42,aapl seeing uptick chatter wallstreetbets last hours via aapl,0,0,2022-04-23 13:15:48+00:00
43,43,big week next week anticipated earnings releases scheduled week meta platforms fb,4,1,2022-04-23 13:07:52+00:00
44,44,aapl weekend update aapl chart,0,0,2022-04-23 12:51:07+00:00
45,45,trading ideas apple aapl entering bear run free trade week via,0,0,2022-04-23 08:52:03+00:00
46,46,aapl one mentioned wallstreetbets last hours via aapl,0,0,2022-04-23 08:04:57+00:00
47,47,aapl prediction tomorrows predicted price current price aapl predicted dec,1,0,2022-04-23 06:37:15+00:00
48,48,daily active users snapchat parent business rose somewhat expected stock social media c,0,0,2022-04-23 03:51:34+00:00
49,49,patience rewarded investing stocks years ago would worth tesla goog aapl,0,0,2022-04-23 02:47:04+00:00
50,50,anyone notice big hours spikes uber aapl msft fb spy nvda f,0,0,2022-04-23 01:08:31+00:00
51,51,bigtech earnings next week stockmarket going tank googl aapl msft fb amzn,4,2,2022-04-23 00:54:15+00:00
52,52,long short never go wrong aapl volatility,0,0,2022-04-23 00:26:48+00:00
53,53,today gains king options trading optionstrading spy aapl robinhood options stocks,3,0,2022-04-22 23:59:59+00:00
54,54,apple inc price close apple aapl,1,1,2022-04-22 22:15:19+00:00
55,55,gonna document trading journey day spy p spy stocks options earnings aapl,0,0,2022-04-22 22:04:51+00:00
56,56,aapl trading day moving average,0,0,2022-04-22 21:24:02+00:00
57,57,aapl seeing uptick chatter wallstreetbets last hours via aapl,0,0,2022-04-22 21:02:26+00:00
58,58,hopefully aapl msft amzn goog hold till,0,0,2022-04-22 20:49:08+00:00
59,59,great wrap week tricktrades aapl right trade plan spy qq fb twtr stock market come see p,3,1,2022-04-22 20:45:49+00:00
60,60,aapl closed today bought share aapl closing price every day week los,1,1,2022-04-22 20:30:00+00:00
61,61,cnbc jim cramer says gt bear market fri mar pm est nvda msft es f,1,0,2022-04-22 20:00:56+00:00
62,62,nflx covid crash low arkk shop getting close ndx aapl tsla btc holding much better,1,0,2022-04-22 19:46:20+00:00
63,63,stop forcing trades optionstrading stockmarket tsla nflx aapl,0,0,2022-04-22 19:45:47+00:00
64,64,aapl aapl breaking trend line support bullish bearish join com,0,1,2022-04-22 19:29:11+00:00
65,65,expecting spx nasdaq area bottom spx spy qq nasdaq iwm vix dia nvda aapl tsla stock,0,0,2022-04-22 19:08:20+00:00
66,66,exactly four weeks ago straight since gt tues mar cnbc jim cramer says,1,0,2022-04-22 18:56:01+00:00
67,67,jpowell fed really really generous us think ever ever generou,0,0,2022-04-22 17:59:39+00:00
68,68,well care everyone selling tech stocks buying tsla nvda aapl,0,0,2022-04-22 17:59:24+00:00
69,69,aapl top suppliers based shanghai covid lockdown hit areas china according nikk,0,0,2022-04-22 17:45:56+00:00
70,70,aapl apple stock strongest would last one go however see downside risk c,7,0,2022-04-22 17:10:18+00:00
71,71,pl platinum sell zone expecting price move sell zone nq f es f spx aapl tsla amzn,0,0,2022-04-22 17:09:51+00:00
72,72,spy spy spx spx qq qq es f es f nq f nq f vix vix aapl aapl msft msft googl googl amzn amzn,0,0,2022-04-22 17:01:09+00:00
73,73,faang fb aapl amzn nflx googl leading spy qq bull market amp also recently,1,0,2022-04-22 16:36:05+00:00
74,74,need big boys save market aapl goog amzn msft,0,0,2022-04-22 16:24:31+00:00
75,75,made watch day trade youtube link bio daytrading trading watchmedaytrade,0,0,2022-04-22 16:22:36+00:00
76,76,happy friday aapl aapl trending wanted share insights stocktwits impressions twitter,0,0,2022-04-22 15:58:39+00:00
77,77,scalped way around aapl another green day another day hitting daily goal solid week books,3,0,2022-04-22 15:19:04+00:00
78,78,aapl stock options trading made simple entry exit signals aapl profit join platinum trad,0,1,2022-04-22 15:05:05+00:00
79,79,australian dollar h sell zone possible price move sell zone nq f es f spx aapl,0,0,2022-04-22 14:33:28+00:00
80,80,happy friday aapl aapl trending wanted share insights stocktwits impressions twitter,1,0,2022-04-22 14:20:52+00:00
81,81,amp p etf trust etf entered put strike limit buy fully exited hour,1,0,2022-04-22 14:18:22+00:00
82,82,nq sell zone sz near high probability price move sell zones,0,0,2022-04-22 13:47:31+00:00
83,83,aapl prediction tomorrows predicted price current price aapl predicted inc,0,0,2022-04-22 12:32:57+00:00
84,84,aapl aapl watching calls puts stockstobuy stocksinfocus,8,0,2022-04-22 11:59:46+00:00
85,85,international business machines corp entered call strike limit buy fully exit,0,0,2022-04-22 11:35:58+00:00
86,86,apple inc entered call strike limit buy fully exited hour limit sale,0,0,2022-04-22 11:35:51+00:00
87,87,aapl th mentioned wallstreetbets last hours via aapl,0,0,2022-04-22 10:39:48+00:00
88,88,bitcoin core releases update potentially natively support apple silicon family chips,2,0,2022-04-22 09:33:53+00:00
89,89,aapl working way top mentioned wallstreetbets last days via,0,0,2022-04-22 09:29:39+00:00
90,90,bitcoin core releases update potentially natively support apple silicon family chips,1,0,2022-04-22 09:17:39+00:00
91,91,aapl seeing uptick chatter wallstreetbets last hours via aapl,0,0,2022-04-22 08:39:27+00:00
92,92,aapl seeing sustained chatter wallstreetbets last days via aapl,0,0,2022-04-22 08:29:28+00:00
93,93,trading days going next week going use k earning plays see whe,0,0,2022-04-22 07:19:49+00:00
94,94,last song fb baba nflx aapl googl amzn tesla nasdaq nyse sp,0,0,2022-04-22 06:28:27+00:00
95,95,aapl aapl earnings levels master personally going start scaling call,1,1,2022-04-22 06:14:07+00:00
96,96,nasdaq canale weekly nasdaq nasdaqlisted spx spx dax dax nyse tsla aapl,0,0,2022-04-22 05:57:09+00:00
97,97,aapl th mentioned wallstreetbets last days via aapl,0,0,2022-04-22 04:48:50+00:00
98,98,tips yield went negative treasury yields went year month yield curve,0,0,2022-04-22 04:03:46+00:00
99,99,stock market today dow jones amp p opened green tesla strong quarter airline stocks,1,0,2022-04-22 03:21:46+00:00
100,100,another good week coming along join team consistent trades qq aapl qq aapl trading,2,2,2022-04-22 02:59:31+00:00
101,101,accumulating apple aapl aapl,2,0,2022-04-22 01:50:30+00:00
102,102,check aapl analysis aapl downtrend right looking pu,1,0,2022-04-22 00:55:56+00:00
103,103,aapl augmented reality design metaverse gme front end sales vision imx ramp integration,22,2,2022-04-22 00:00:23+00:00
104,104,safeguarding industry also means protecting bad actors best way empower borrowers,0,0,2022-04-21 22:52:05+00:00
105,105,aapl spx chronological order last earnings st arrow nflx started r,0,0,2022-04-21 22:49:00+00:00
106,106,apple aapl chart,0,0,2022-04-21 22:19:37+00:00
107,107,apple inc price close apple aapl,2,1,2022-04-21 22:15:17+00:00
108,108,aapl prediction tomorrows predicted price current price aapl predicted incr,0,0,2022-04-21 22:01:06+00:00
109,109,green aapl healthy,0,0,2022-04-21 21:47:53+00:00
110,110,latest research examines real impact stocks like aapl fb amzn tsla msft investor portfolios,8,1,2022-04-21 21:00:00+00:00
111,111,thank furus like like market took day market spy aapl qq fb qq,0,0,2022-04-21 20:53:56+00:00
