,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,amd seeing uptick chatter wallstreetbets last hours via amd,0,0,2022-04-21 03:33:49+00:00
1,1,gpu uk drop asus nvidia geforce rtx gb rog strix white oc edition ampere graphics card price,0,0,2022-04-21 03:16:19+00:00
2,2,support amd gpu coming soon redshift gpu rendering amd maya,1,0,2022-04-21 02:32:59+00:00
3,3,amd trading plan review calls entry invalidated opened entry failed hold amd broke support,0,0,2022-04-21 02:13:42+00:00
4,4,asus debuts new zenbooks latest amd intel cpus gpus curated tech news,1,1,2022-04-21 01:48:15+00:00
5,5,amd hour chart april present members showing reaction lower expectiing downside compl,0,0,2022-04-21 01:38:33+00:00
6,6,amd hour chart march th calling downside stock break elliottwave,0,0,2022-04-21 01:38:21+00:00
7,7,amd hour chart april present members showing reaction lower expectiing downside compl,0,0,2022-04-21 01:37:43+00:00
8,8,amd hour chart march th calling downside stock break elliottwave,0,0,2022-04-21 01:35:18+00:00
9,9,bravoleader live twitch rewatch vod fly safe always,0,0,2022-04-21 01:31:25+00:00
10,10,gpu uk drop asus rog strix geforce rtx oc edition gb gddr x gaming graphics card axial tech fans,0,0,2022-04-21 01:04:43+00:00
11,11,us stock alert newegg sapphire pulse radeon rx gb gddr pci express atx video card g,0,0,2022-04-21 01:04:01+00:00
12,12,us stock alert bestbuy msi amd radeon rx xt gaming x g gb gddr pci express graphics c,0,0,2022-04-21 01:01:10+00:00
13,13,gpu uk drop asus rog strix geforce rtx oc edition gb gddr x gaming graphics card axial tech fans,0,0,2022-04-21 00:56:32+00:00
14,14,us stock alert newegg asus dual radeon rx gb gddr pci express video card dual rx g,0,0,2022-04-21 00:40:19+00:00
15,15,us stock alert newegg sapphire pulse amd radeon rx gaming gb gddr hdmi dp lite edition video card,2,0,2022-04-21 00:40:18+00:00
16,16,us stock alert newegg xfx speedster swft amd radeon rx xt core gaming graphics card gb gddr,1,0,2022-04-21 00:40:18+00:00
17,17,us stock alert newegg powercolor red dragon amd radeon rx xt gaming graphics card gb gddr memo,1,0,2022-04-21 00:40:17+00:00
18,18,us stock alert newegg gigabyte aorus radeon rx xt master g rev graphics card max covered coo,0,0,2022-04-21 00:40:17+00:00
19,19,us stock alert newegg gigabyte radeon rx xt eagle oc g graphics card windforce x cooling system,0,0,2022-04-21 00:40:16+00:00
20,20,us stock alert newegg asrock radeon rx xt phantom gaming gaming graphics card gb gddr amd r,1,0,2022-04-21 00:40:16+00:00
21,21,us stock alert newegg asus dual radeon rx xt oc edition gb gddr gaming graphics card amd rdna p,1,0,2022-04-21 00:40:15+00:00
22,22,us stock alert newegg gigabyte aorus radeon rx xt master g graphics card max covered cooling gb,0,0,2022-04-21 00:40:15+00:00
23,23,us stock alert newegg gigabyte aorus radeon rx xt elite g graphics card windforce x cooling system,0,0,2022-04-21 00:40:14+00:00
24,24,us stock alert newegg gigabyte radeon rx gaming oc g graphics card windforce x cooling system g,1,0,2022-04-21 00:40:14+00:00
25,25,us stock alert newegg sapphire pulse amd radeon rx gaming graphics card gb gddr amd rdna,1,0,2022-04-21 00:40:14+00:00
