,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,apple last faang standing earnings could move market bespokeinvestmentgroup alphabet nflx,0,0,2022-04-24 23:07:02+00:00
1,1,market traders use weekend head tricktrades youtube channel actual profe,0,0,2022-04-24 22:20:27+00:00
2,2,expect volatile trading week w aapl amzn twtr fb xom mcd earnings week,1,0,2022-04-24 22:00:01+00:00
3,3,looking good bigtech zone give short support bounce go de,0,0,2022-04-24 21:45:46+00:00
4,4,earnings releases week april meta platforms fb apple aapl microsoft msft amazon amzn,0,0,2022-04-24 17:50:29+00:00
5,5,next weeks favorite long msft goog fb amzn trade,0,0,2022-04-24 17:10:36+00:00
6,6,next weeks favorite short msft goog fb amzn trade,0,0,2022-04-24 17:09:26+00:00
7,7,favorite short play long play next week ko msft goog spot fb nok amzn roku,0,0,2022-04-24 17:07:17+00:00
8,8,also amzn ema weekly amzn closed ema weekly since ema current,0,0,2022-04-24 16:51:17+00:00
9,9,happy sunday top thingstoknowthisweek aapl msft amzn google fb earnings twtr intc,0,0,2022-04-24 16:48:31+00:00
10,10,amzn analysis using fibonacci amzn chart,0,0,2022-04-24 16:42:41+00:00
11,11,rumors fed adding basis point market priced yet nasdaq goog appl,0,0,2022-04-24 15:12:02+00:00
12,12,time techs report earnings aapl amzn goog googl msft fb report week aapl apple,4,1,2022-04-24 14:49:03+00:00
13,13,big five faang stock sector service posted sunday amzn aapl fb nflx tsla googl secto,0,2,2022-04-24 14:02:46+00:00
14,14,expecting stockmarket crash quitte months markets self correcting mechanism timing,0,0,2022-04-24 13:37:48+00:00
15,15,guess tesla bargain compare amazon tsla overvalued misly compare,0,0,2022-04-24 12:06:59+00:00
16,16,market bad faamg released financial reports one another let us wait see tsla aapl msft fb amzn google,0,0,2022-04-24 11:23:40+00:00
17,17,amzn extremely crooked company stealing inventory funds,0,0,2022-04-24 10:27:12+00:00
18,18,amzn extremely crooked company stealing inventory funds,0,0,2022-04-24 10:26:06+00:00
19,19,amzn extremely crooked company stealing inventory funds,0,0,2022-04-24 10:25:48+00:00
20,20,first real experience market one colour portfolio anyways enjoying picking u,0,0,2022-04-24 09:28:57+00:00
21,21,seems faang stocks trouble googl fb nflx aapl aapl amzn support line,11,1,2022-04-24 06:36:03+00:00
22,22,amzn prediction tomorrows predicted price current price amzn predicted,1,0,2022-04-24 02:43:02+00:00
23,23,great fantasy novel free read amzn kindleunlimited,0,0,2022-04-24 01:24:05+00:00
24,24,fast paced fantasy page turner free read amzn kindleunlimited booklover magic sword sorcery,2,1,2022-04-24 01:13:58+00:00
25,25,haha one also write books well mcd pays tho helpless victim omnipot,0,1,2022-04-23 22:56:09+00:00
26,26,thank helpless victim omnipotent killer depends sure protect,1,1,2022-04-23 22:43:22+00:00
27,27,thank helpless victim omnipotent killer depends sure protect,1,1,2022-04-23 22:40:42+00:00
28,28,helpless victim omnipotent killer depends sure protect end everybody,3,3,2022-04-23 22:27:07+00:00
29,29,thank helpless victim omnipotent killer depends sure protec,1,1,2022-04-23 22:24:51+00:00
30,30,thank helpless victim omnipotent killer depends sure protect,3,1,2022-04-23 22:21:30+00:00
31,31,thank helpless victim omnipotent killer depends sure protect,0,1,2022-04-23 22:19:32+00:00
32,32,amzn amazon suivi analyse tradingview,0,0,2022-04-23 21:30:00+00:00
33,33,amzn seeing uptick chatter wallstreetbets last hours via amzn,0,0,2022-04-23 21:17:11+00:00
34,34,amzn extremely crooked company stealing inventory funds,0,0,2022-04-23 18:02:52+00:00
35,35,amzn extremely crooked company stealing inventory funds,0,0,2022-04-23 18:02:21+00:00
36,36,amzn extremely crooked company stealing inventory funds,0,0,2022-04-23 18:01:57+00:00
37,37,semana al meta fb apple amazon netflix google microsoft,0,0,2022-04-23 17:08:50+00:00
38,38,amzn consolidating almost years positioning,0,0,2022-04-23 15:08:46+00:00
39,39,amzn consolidating almost years positioning coron,0,0,2022-04-23 15:07:44+00:00
40,40,easily biggest earnings week quarter front us ko ups ge pep mm wm msft goog v gm ba,0,0,2022-04-23 13:51:11+00:00
41,41,amzn weekend update amzn chart,0,0,2022-04-23 13:13:48+00:00
42,42,big week next week anticipated earnings releases scheduled week meta platforms fb,4,1,2022-04-23 13:07:52+00:00
43,43,earnings report going even bigger volatility next week majority big cap players going,43,7,2022-04-23 10:52:18+00:00
44,44,amzn prediction tomorrows predicted price current price amzn predicted,0,0,2022-04-23 10:14:06+00:00
45,45,streaming aggregation service would allow users scroll choose platforms one pla,0,0,2022-04-23 09:57:23+00:00
46,46,amzn profit add shorts hold,1,0,2022-04-23 07:23:39+00:00
47,47,nasdaq certain market manipulated fearful investors confi,0,0,2022-04-23 05:55:35+00:00
48,48,heat map us major index stocks usindex vti,0,1,2022-04-23 01:44:42+00:00
49,49,amzn trading plan review calls entry successful pt reached choppy puts entries successful pt rea,0,0,2022-04-22 23:37:14+00:00
50,50,hopefully aapl msft amzn goog hold till,0,0,2022-04-22 20:49:08+00:00
51,51,guess tesla bargain compare amazon tsla overvalued,0,0,2022-04-22 19:33:06+00:00
52,52,amzn amzn bear flag er looking good bearish bullish around,0,0,2022-04-22 19:19:42+00:00
53,53,dow tumbles twtr amp ko showing stability robustness amzn amp orcl fall fb trying hold ground got less fall,0,0,2022-04-22 19:15:19+00:00
54,54,next week earnings reports tue microsoft msft alphabet goog wed facebook parent meta platforms fb,0,0,2022-04-22 18:57:06+00:00
55,55,pl platinum sell zone expecting price move sell zone nq f es f spx aapl tsla amzn,0,0,2022-04-22 17:09:51+00:00
56,56,spy spy spx spx qq qq es f es f nq f nq f vix vix aapl aapl msft msft googl googl amzn amzn,0,0,2022-04-22 17:01:09+00:00
57,57,faang fb aapl amzn nflx googl leading spy qq bull market amp also recently,1,0,2022-04-22 16:36:05+00:00
58,58,need big boys save market aapl goog amzn msft,0,0,2022-04-22 16:24:31+00:00
59,59,amzn prediction tomorrows predicted price current price amzn predicted,0,0,2022-04-22 16:09:45+00:00
60,60,happy friday amzn amzn trending wanted share insights stocktwits impressions twitter,0,0,2022-04-22 15:59:03+00:00
61,61,australian dollar h sell zone possible price move sell zone nq f es f spx aapl,0,0,2022-04-22 14:33:28+00:00
62,62,happy friday amzn amzn trending wanted share insights stocktwits impressions twitter,0,0,2022-04-22 14:22:49+00:00
63,63,amp p etf trust etf entered put strike limit buy fully exited hour,1,0,2022-04-22 14:18:22+00:00
64,64,wishful thinking would love amzn hit,0,0,2022-04-22 14:00:04+00:00
65,65,amzn amazon going make lot people rich,1,0,2022-04-22 13:53:17+00:00
66,66,nq sell zone sz near high probability price move sell zones,0,0,2022-04-22 13:47:31+00:00
67,67,inc entered put strike limit buy fully exited,0,0,2022-04-22 13:38:12+00:00
68,68,stocks picks day amzn long hca short logi short kmb long amp p april stockmarket,0,0,2022-04-22 13:06:56+00:00
69,69,netflix inc entered put strike limit buy fully exited hours limit sal,0,0,2022-04-22 11:35:59+00:00
70,70,apple inc entered call strike limit buy fully exited hour limit sale,0,0,2022-04-22 11:35:51+00:00
71,71,inc entered put strike limit buy took partial profi,0,0,2022-04-22 11:35:45+00:00
72,72,jeff bezos earns k minute amazon allegedly gives snack raffle prize warehouse workers,0,0,2022-04-22 08:08:56+00:00
73,73,checkout go thru amzn pay co fulfillment n w amzn also manage free returns eligible orde,1,0,2022-04-22 07:22:44+00:00
74,74,last song fb baba nflx aapl googl amzn tesla nasdaq nyse sp,0,0,2022-04-22 06:28:27+00:00
75,75,amzn calls gt puts lt size appropriately follow plan trading charting,0,0,2022-04-22 04:36:38+00:00
76,76,amzn remember b buyback print let sink amzn,0,0,2022-04-22 03:36:19+00:00
77,77,amzn remember b buyback print let sink amzn,1,1,2022-04-22 03:36:12+00:00
78,78,amzn trading plan review calls entry successful pt reached mins amp reversed puts entries succes,0,0,2022-04-22 03:21:58+00:00
79,79,amzn prediction tomorrows predicted price current price amzn predicted,0,0,2022-04-22 01:37:54+00:00
80,80,guess tesla bargain compare amazon tsla overvalued misly compare,0,0,2022-04-22 01:01:31+00:00
81,81,sell amazon stock yesterday sh get tomorrow next netflix amzn nflx gme amc,0,0,2022-04-22 00:31:57+00:00
82,82,heat map us major index stocks usindex vti,0,1,2022-04-21 22:21:48+00:00
83,83,latest research examines real impact stocks like aapl fb amzn tsla msft investor portfolios,8,1,2022-04-21 21:00:00+00:00
84,84,amzn call buying drop points run er blackboxstocks earnings amzn thing th,1,0,2022-04-21 20:48:09+00:00
