,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,options needed always baba,0,0,2022-04-21 03:44:28+00:00
1,1,tesla gets red carpet china ccp destroys companies didi baba,0,0,2022-04-21 03:25:12+00:00
2,2,always like stuck eyes stuck mine feeling,0,0,2022-04-21 03:15:00+00:00
3,3,seeing like finding heaven earth thought knew heartbeat,0,0,2022-04-21 03:14:58+00:00
4,4,knew helicopter could useful put smile face one love,0,0,2022-04-21 03:14:57+00:00
5,5,hakankurta baba instagram,0,0,2022-04-21 03:10:11+00:00
6,6,jd shares circulating hong kong clearing settling system tuesday vs begin,2,1,2022-04-21 02:39:55+00:00
7,7,rooh baba dons baba look like fans super excited follow us,3,0,2022-04-21 01:30:50+00:00
8,8,might far away two souls tangled together kilometers mean much,0,0,2022-04-21 01:20:48+00:00
9,9,hearing voice always makes everything better even phone bro,0,0,2022-04-21 01:20:47+00:00
10,10,kadir elif vibes kadel baba tolgasar ta dilaraaks yek,4,1,2022-04-21 01:13:10+00:00
11,11,scenes acting details similarity watching scenes feel haluk,1,0,2022-04-21 01:06:54+00:00
12,12,precious im crying lhan iyi geceler ilb lhankara hakankurta baba,2,0,2022-04-21 01:05:06+00:00
13,13,evet ilb lhankara hakankurta baba,2,0,2022-04-21 00:59:36+00:00
14,14,beautifully said lb baba,3,0,2022-04-21 00:23:41+00:00
15,15,b ra hi bir yere gitme hep yanimda kal could leave lhan like everything said,8,0,2022-04-21 00:19:46+00:00
16,16,oh god ilb lhankara hakankurta baba,2,0,2022-04-20 23:06:44+00:00
17,17,fell love baba ilb,8,1,2022-04-20 23:03:48+00:00
18,18,cute baba kadel,4,0,2022-04-20 23:01:47+00:00
19,19,notice paused lips lb baba,5,1,2022-04-20 22:58:02+00:00
20,20,yall notice takes hands holds kim ilb lhankara hakankurta baba,8,0,2022-04-20 22:21:52+00:00
21,21,bana anlata bilir misin ne oldu pure child got coma first thing wants marry,14,0,2022-04-20 22:14:51+00:00
22,22,brother baba tolgasar ta ozgeyag z,2,0,2022-04-20 22:06:46+00:00
23,23,cute innocent beautiful first ilb baba,12,0,2022-04-20 22:04:45+00:00
24,24,made cut iconic couples list ilb baba,8,0,2022-04-20 22:00:45+00:00
25,25,writers write sentence ilhan never argument father really wtf firs,2,0,2022-04-20 21:37:24+00:00
26,26,better question baba dun turn motivational speaker top n presidential form,0,0,2022-04-20 21:27:15+00:00
27,27,baba alibaba wanna see price wake morning,0,0,2022-04-20 21:24:32+00:00
28,28,used respect hypocrite end biting fingers young girl bewar,1,0,2022-04-20 21:23:11+00:00
29,29,lb stone mind glass heart baba,51,7,2022-04-20 21:21:10+00:00
30,30,beautiful lb zgeya z hakankurta baba,4,1,2022-04-20 21:10:00+00:00
