,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,bac volume today lower recent days shares traded day average volume,0,0,2022-04-22 09:03:28+00:00
1,1,us spending fast fashion brands slowed low inc consumers feel pinched bac analysis cre,0,0,2022-04-22 07:42:53+00:00
2,2,board ape sold bac,4,0,2022-04-22 05:35:45+00:00
3,3,board ape sold bac,3,1,2022-04-21 21:32:37+00:00
4,4,bac bank america corporation reference price year prediction potential bac,0,0,2022-04-21 21:23:07+00:00
5,5,bac pb aroon indicator bearish try new intuitive free stock screener,0,0,2022-04-21 20:55:48+00:00
6,6,lavatory cleaning services plane available bac let us dirty work call,0,0,2022-04-21 20:30:08+00:00
7,7,xlf wave bounce lows reach area sellers expected appear elliottwave trading bac,0,0,2022-04-21 20:16:00+00:00
8,8,xlf seen break april low within short term cycles favoring downside amp possible break belo,0,0,2022-04-21 18:15:00+00:00
9,9,bac h bac produced following harmonic trading signal fully formed patterns green bull red bear,0,0,2022-04-21 16:20:36+00:00
10,10,job joining metaverse best pfpnfts htrpunks boardapes,9,1,2022-04-21 15:23:43+00:00
11,11,discussing alcohol increases blood alcohol concentration bac earlier week spent half,2,0,2022-04-21 13:54:45+00:00
12,12,xlf hr view yesterday midday update presented members new low turned int,0,0,2022-04-21 12:51:34+00:00
13,13,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
14,14,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
15,15,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
16,16,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
17,17,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
18,18,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
19,19,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
20,20,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
21,21,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
22,22,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
23,23,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
24,24,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
25,25,holy cow board ape sold bac,1,0,2022-04-21 12:07:33+00:00
26,26,board ape sold bac,1,1,2022-04-21 12:07:33+00:00
27,27,board ape sold bac,2,1,2022-04-21 12:07:33+00:00
28,28,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
29,29,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
30,30,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
31,31,board ape sold bac,1,1,2022-04-21 12:07:33+00:00
32,32,board ape sold bac,1,0,2022-04-21 12:07:33+00:00
33,33,xlf hr view yesterday midday update presented members new low turned int,0,0,2022-04-21 12:03:36+00:00
34,34,xlf seen break april low within short term cycles favoring downside amp possible break belo,0,0,2022-04-21 11:49:06+00:00
35,35,xlf wave bounce lows reach area sellers expected appear elliottwave trading bac,0,0,2022-04-21 11:46:30+00:00
36,36,recap frencheducation news bac special exam dates end april deadline apply take child,0,0,2022-04-21 06:30:06+00:00
37,37,bac moynihan customers bank spent accounts march year earlier adding,3,0,2022-04-21 03:09:31+00:00
38,38,excited share latest addition etsy shop medical terminology cheat sheet study sheets instant downl,0,0,2022-04-20 22:33:57+00:00
39,39,xlf hr view midday update presented members new low turned flat str,3,0,2022-04-20 22:25:39+00:00
40,40,xlf seen break april low within short term cycles favoring downside amp possible break belo,1,1,2022-04-20 22:22:51+00:00
41,41,xlf wave bounce lows reach area sellers expected appear elliottwave trading bac,1,0,2022-04-20 22:22:37+00:00
42,42,financial sector ended cycle march lows waves amp reacting lower elliottwave trading bac xlf,0,0,2022-04-20 21:40:56+00:00
43,43,register new jersey spring flyout challenge fly many airports may collect point,0,0,2022-04-20 20:30:08+00:00
44,44,bac fwp bank america apr pm free writing prospectus bac fwp bankofamerica,0,0,2022-04-20 18:56:50+00:00
45,45,major outages affecting multiple finically providers including chase visa mastercard cybersecurity,0,3,2022-04-20 18:00:48+00:00
46,46,current option positions nke call ups call mara call bac ca,0,0,2022-04-20 17:09:13+00:00
