,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,check mothersday ct gold commemorative winstonchurchill coin rare via,0,0,2022-04-22 08:50:00+00:00
1,1,dd cryptocurrencies revolution token tokens tokensale tokenomics coin,0,0,2022-04-22 08:49:50+00:00
2,2,world going digital take advantage invest meta metaverse nft technologies investing,0,0,2022-04-22 08:48:06+00:00
3,3,focus making best year yet webdollar webdollar attractive coin get hodl,1,1,2022-04-22 08:46:20+00:00
4,4,almost three weeks listing still top coins dogemeta,2,0,2022-04-22 08:34:00+00:00
5,5,us national bank regulator happy anchorage digital know customer p,0,0,2022-04-22 08:33:32+00:00
6,6,new domains web domains domainforsale nft nftcommunity,1,1,2022-04-22 08:26:58+00:00
7,7,begin adonis network adonis network coin blockchain,1,0,2022-04-22 08:26:10+00:00
8,8,web embraces women join movement read full post click link,0,1,2022-04-22 08:22:05+00:00
9,9,persiancat token coin born buy amp sell fee buy via pancakeswap sym,0,0,2022-04-22 08:21:45+00:00
10,10,persiancat token coin born buy amp sell fee buy via pancakeswap,0,0,2022-04-22 08:15:25+00:00
11,11,dd crypto challenge future token tokenomics tokensale tokenclub tokens tokenlaunch,1,1,2022-04-22 08:15:13+00:00
12,12,persiancat token coin born buy amp sell fee buy via,0,0,2022-04-22 08:10:47+00:00
13,13,persiancat token coin born buy,0,0,2022-04-22 08:09:12+00:00
14,14,listed coin would invest btc eth shibainu dogecoin xrp bsc,0,0,2022-04-22 08:07:40+00:00
15,15,persiancat token coin born buy amp sell fee buy via pancakeswap,0,0,2022-04-22 08:03:04+00:00
16,16,persiancat token coin born buy amp sell fee buy via,0,0,2022-04-22 08:00:10+00:00
17,17,persiancat token coin born buy amp sell fee buy via pancakeswap symbo,0,0,2022-04-22 07:59:24+00:00
18,18,ironage iceni silver coin found thanks norfolk,0,0,2022-04-22 07:54:35+00:00
19,19,gemcave going revolutionize nft tech still early nft,0,0,2022-04-22 07:54:06+00:00
20,20,price ksn increasing every day buy ksn token better future see,1,0,2022-04-22 07:49:27+00:00
21,21,best cryptocurrency ever ksn token see cryptoplatform tradingplatform kissan,2,0,2022-04-22 07:42:14+00:00
22,22,bollingeralert dock sats upper b band h h h crypto coin btc,0,0,2022-04-22 07:40:39+00:00
23,23,dd huuge boom tokenomics token tokens cryptonews cryptoworld cryptos cryptos,0,1,2022-04-22 07:39:37+00:00
24,24,coin went price discovery stocks listing describing strong buy,1,1,2022-04-22 07:34:06+00:00
25,25,persiancat token coin born buy amp sell fee buy via pancakeswap sy,0,0,2022-04-22 07:30:18+00:00
26,26,found really cool nftproject gt memecoin klaytn koreanmemecoin koreancoin mmt nfttoken,0,0,2022-04-22 07:22:46+00:00
27,27,persiancat token coin born buy amp sell fee buy via pancakeswap symb,0,0,2022-04-22 07:20:09+00:00
28,28,positive ebay feedback received buyer b perfect star transaction many thanks,1,1,2022-04-22 07:13:39+00:00
29,29,dd wealth great token tokens tokensale tokenomics tokenlaunch coin cryptocoin,0,0,2022-04-22 07:09:09+00:00
30,30,airdrop airdrops airdropcrypto crypto token coin giveaway giveaways btc nft,0,0,2022-04-22 07:03:25+00:00
31,31,coin st mentioned chan last days via coin chan,0,0,2022-04-22 06:59:07+00:00
