,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,dis seeing sustained chatter chan last days via dis chan,0,0,2022-04-21 01:13:25+00:00
1,1,dis one mentioned wallstreetbets last hours via dis,0,0,2022-04-20 23:13:06+00:00
2,2,dis needs dismantled next thing sick bastards understand money,0,0,2022-04-20 19:42:38+00:00
3,3,stock market cvx pallad reliance ns tmo fb,0,0,2022-04-20 19:00:03+00:00
4,4,yep dis buy,0,0,2022-04-20 18:12:35+00:00
5,5,stock market cvx tmo dhr cvs fb dis,1,0,2022-04-20 17:00:03+00:00
6,6,thanks floridaman buying disney stock thanks bud dis,0,0,2022-04-20 15:28:00+00:00
7,7,stock market asml cvx dhr reliance ns fb,0,0,2022-04-20 15:00:02+00:00
8,8,markers spx gold silver amp moc need horoscope see disney needs,2,0,2022-04-20 14:58:33+00:00
9,9,people fed woke companies stocks begun sink nflx dis twtr fb,13,4,2022-04-20 14:42:39+00:00
10,10,dis investment club call comment potential tax law changes florida quite material thoughts,0,0,2022-04-20 14:34:59+00:00
11,11,take look dis chart looks similar nflx roku wbd things streaming,0,0,2022-04-20 14:11:09+00:00
12,12,stocks picks day dis short nflx short asml long arct short market opening stockmarket,0,0,2022-04-20 13:03:08+00:00
13,13,hubbub disney netflix stocks going last year tells,0,0,2022-04-20 12:39:57+00:00
14,14,happy birthday clint howard clint howard born april actor guest starred four startrek ep,5,4,2022-04-20 12:34:36+00:00
15,15,rose upper bollinger band today dis,0,0,2022-04-20 11:09:49+00:00
16,16,help take business next level google ads digital marketing agency call,2,1,2022-04-20 10:47:19+00:00
17,17,netflix shares plunge losing k subscribers q revenue jumps yoy nflx,0,0,2022-04-20 10:39:39+00:00
18,18,disney dis stock week lows sell lose everything,0,1,2022-04-20 08:37:29+00:00
19,19,dis working way top mentioned wallstreetbets last hours via,1,0,2022-04-20 05:50:11+00:00
20,20,would big go probably worst thing could nflx dis,3,0,2022-04-20 04:03:45+00:00
21,21,nflx dis roku going painful start trading today plummeted afterhours shareholders,5,0,2022-04-20 03:18:00+00:00
22,22,dis seeing uptick chatter wallstreetbets last hours via dis,0,0,2022-04-20 00:59:10+00:00
23,23,dis aid streaming grand reopening forget dis also espn whi,1,0,2022-04-19 23:32:55+00:00
24,24,todays top movers nke ba dis cfg intc,0,0,2022-04-19 23:06:02+00:00
25,25,guy wife born friend wow congrats boss urgent k aza man guy aza man dis country na cruise walahi,0,0,2022-04-19 22:26:45+00:00
26,26,dis next results,1,0,2022-04-19 21:34:37+00:00
27,27,let see many pcs die tonight death space ep secret room tonight pm cst game,11,2,2022-04-19 21:19:48+00:00
28,28,nflx canary coal mine dis,0,0,2022-04-19 21:07:47+00:00
29,29,nflx lost k subscribers quarter dis giving run money,0,0,2022-04-19 20:15:51+00:00
30,30,pitchdis needs way hype even disabled author please support friends spread,29,9,2022-04-19 19:05:30+00:00
31,31,stock market reliance ns nke jnj dis prx,0,0,2022-04-19 19:00:02+00:00
32,32,dis worked team coached stocks stockmarket dis stockstowatch options equity,1,0,2022-04-19 18:59:41+00:00
33,33,dis hold levels dis divergrence priceaction seasonalswingtrader,0,0,2022-04-19 18:11:40+00:00
34,34,stock market cvx eth btc dis prx,0,0,2022-04-19 17:00:02+00:00
35,35,thanks mention heathkeri,0,0,2022-04-19 14:35:29+00:00
36,36,dis dis downtrend current tendention recommended sell,2,1,2022-04-19 12:30:05+00:00
37,37,daily watchlist recap aal abnb ba dash fdx gs jnj lly orcl wmt dis lcid cat rblx,1,1,2022-04-19 12:29:11+00:00
38,38,everyone health insurance say everyone health care details contact us,1,0,2022-04-19 08:58:10+00:00
39,39,moon dis,0,0,2022-04-19 04:45:47+00:00
40,40,got big bags dis,0,0,2022-04-19 04:45:19+00:00
41,41,lets hope break billion mc dis,0,0,2022-04-19 04:44:38+00:00
42,42,took longer thought dis wk low eod ah amp think,0,0,2022-04-19 04:11:11+00:00
43,43,post note like someone vehicle maybe look see whether got handicap plates mayb,2,0,2022-04-19 02:01:14+00:00
44,44,sell disney wiped dis,0,0,2022-04-18 23:24:57+00:00
45,45,dis hold levels dis divergrence priceaction seasonalswingtrader,1,0,2022-04-18 22:05:09+00:00
46,46,days megacon orlando huge four day weekend offering exciting family friendly attractions,0,0,2022-04-18 15:01:06+00:00
47,47,sentmiment dis dis week wallstreetmooners stockwatch wallstreetmooners,1,0,2022-04-18 13:26:12+00:00
48,48,daily watchlist aal abnb ba dash fdx gs jnj lly orcl wmt dis lcid cat rblx,1,1,2022-04-18 12:25:19+00:00
49,49,dis plus biggest increase churn rate quarterly churn x q q nflx amzn prime vi,79,12,2022-04-17 23:22:16+00:00
50,50,hit miles today exceptional engineering original engine miles moon farthest e,0,0,2022-04-17 21:37:33+00:00
51,51,dis dis getting close sight,47,3,2022-04-17 14:41:37+00:00
52,52,check dis analysis,0,0,2022-04-17 08:49:01+00:00
53,53,thanks mention alliereed,0,0,2022-04-17 06:20:44+00:00
54,54,always remember relatioships never die naturaldeath murdered ego lies deceit dis respect,1,0,2022-04-17 05:13:26+00:00
55,55,throw back wearing gown peace dis ir ifl rupp cambodia,1,0,2022-04-17 05:03:09+00:00
56,56,nd pc death ep see next tuesday pm cst dis,3,1,2022-04-17 01:14:20+00:00
57,57,top stocks watch week apr stocks mentioned video apple,1,0,2022-04-17 00:08:37+00:00
58,58,cover subjects like gmofood healing nlp hypnosis dis ease breathwork meditation,1,1,2022-04-16 20:16:47+00:00
59,59,another reason sell stock dis taxday,3,0,2022-04-16 19:42:15+00:00
60,60,foodnetwork giant cream puffs deserve holiday find grammy goodies wheat ridge colo,1,0,2022-04-16 18:10:08+00:00
61,61,maybe buy walt disney next week dis,0,0,2022-04-16 16:57:48+00:00
62,62,thanks mention thereallevans,1,0,2022-04-16 15:50:44+00:00
63,63,cup size stanley women tri blend baseball tee mugs mug coffee handmade,0,0,2022-04-16 13:06:00+00:00
64,64,looking photos found one took cinderella castle almost years ago disney,1,1,2022-04-16 08:48:19+00:00
65,65,singing together helps children build skills like attention engagement imitation peer interaction yo,0,0,2022-04-15 19:03:29+00:00
66,66,th episode party continues talk fetter aunt tiamek uncovers uncomfortable fami,4,3,2022-04-15 15:17:34+00:00
67,67,bipoc lgbtqia nd dis anyone historically underrepresented community expressing frustration,12,2,2022-04-15 14:52:56+00:00
68,68,every free speech post makes double check posters affiliation bc antivax conservative ppl spread l,0,1,2022-04-15 12:41:55+00:00
69,69,save savings amp roof best plan provided call us dis policy cover infinservices,0,0,2022-04-15 12:35:36+00:00
70,70,may god fill life goodness holy day happy goodfriday digisurgeon info solutions digital marke,3,1,2022-04-15 07:20:11+00:00
71,71,found overbought rsi relative strength index daily chart amico international shipping,0,0,2022-04-15 06:15:03+00:00
72,72,boogiecats sunday evening brand new episode degreesofthedelta come celebrate belated birthdays,0,0,2022-04-15 02:05:15+00:00
73,73,excited share latest addition etsy shop home pantry sign carved distressed wooden pantry sign rust,1,0,2022-04-14 23:46:15+00:00
74,74,magpie lord agatha raisin december london avenge mentor death stop serial killer,0,1,2022-04-14 23:02:00+00:00
75,75,far tree x ex life blood blooms unexpected reunion two brothers separated since chi,2,2,2022-04-14 22:13:00+00:00
76,76,sapphic maritime horror salka young trans woman hunting merfolks sea dad crew sta,1,1,2022-04-14 22:08:20+00:00
