,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,fb one mentioned chan last days via fb chan investing,0,0,2022-04-24 23:50:54+00:00
1,1,need take hard look life spend day w drsims fb,0,0,2022-04-24 23:30:13+00:00
2,2,anzac goomalling lest forget fb wheatbelt rsl,2,0,2022-04-24 23:22:25+00:00
3,3,fa done music fb facebook,0,0,2022-04-24 23:01:38+00:00
4,4,great attendance norseman anzac day service shire exceptional job always norsey cops honour,6,0,2022-04-24 22:53:30+00:00
5,5,fb nd mentioned wallstreetbets last hours via fb,0,0,2022-04-24 22:50:49+00:00
6,6,hrs calming relaxing music pets amp hz solfeggi via,0,0,2022-04-24 22:49:26+00:00
7,7,showing respects city belmont rsl anzac day service held fa,2,0,2022-04-24 22:40:38+00:00
8,8,yal weather meterologist reporter comedy reelsteady fb live news,1,0,2022-04-24 22:36:41+00:00
9,9,market traders use weekend head tricktrades youtube channel actual profe,0,0,2022-04-24 22:20:27+00:00
10,10,forex signal close sl sell eurjpy loss pips gmt fx forex fb,0,0,2022-04-24 22:17:14+00:00
11,11,nws fcst tonightptly cloudy lo f monptly sunny hi f monnightchcshwrs thenshwrs lo f,0,0,2022-04-24 22:15:02+00:00
12,12,forex signal sell chfjpy sl tp gmt fx forex fb,0,0,2022-04-24 22:15:00+00:00
13,13,online amp want followers teamfollowback autofollowback instantfollowback aday tfb followngain ff fb,1,0,2022-04-24 22:10:13+00:00
14,14,expect volatile trading week w aapl amzn twtr fb xom mcd earnings week,1,0,2022-04-24 22:00:01+00:00
15,15,fb birthday last wednesday,1,0,2022-04-24 21:58:05+00:00
16,16,hard ponys uploaded new song titled lied check fb,0,0,2022-04-24 21:47:37+00:00
17,17,looking good bigtech zone give short support bounce go de,0,0,2022-04-24 21:45:46+00:00
18,18,forex signal close sl sell gbpaud loss pips gmt fx forex fb,0,1,2022-04-24 21:45:28+00:00
19,19,fb seeing sustained chatter wallstreetbets last days via fb,0,0,2022-04-24 21:40:34+00:00
20,20,permanentlyfollowingtilldeath fb good night everyone likes hate best wishes lad,0,0,2022-04-24 21:40:19+00:00
21,21,hailing rm middleclass socialmedia watsapp forwards fb channels ensured snatch salaries,0,0,2022-04-24 21:38:03+00:00
22,22,forex signal sell gbpaud sl tp gmt fx forex fb,1,0,2022-04-24 21:32:14+00:00
23,23,many kills clip callofduty warzone gaming gamer shorts youtube reels insta fb ig yt gg,4,2,2022-04-24 21:31:11+00:00
24,24,nws fcst tonight partly cloudy lo lt f monday thunder storm hi lt f monday night thunder storm lo lt f,0,0,2022-04-24 21:30:05+00:00
25,25,forex signal sell eurjpy sl tp gmt fx forex fb,1,0,2022-04-24 21:30:01+00:00
26,26,words wisdom think finding someone relationship going miraculously fi,0,0,2022-04-24 21:29:29+00:00
27,27,many kills count callofduty warzone gaming gamer shorts youtube reels insta fb ig yt gg,2,0,2022-04-24 21:24:55+00:00
28,28,falseprophets gullible hatefilled people profess jesus scream,1,0,2022-04-24 21:15:03+00:00
29,29,twitter sold possibly delisted nyse changes want see platf,0,0,2022-04-24 21:11:46+00:00
