,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,future growth taking goog specifically,0,0,2022-04-23 03:36:18+00:00
1,1,lower yes goog nah ppl starting smell deal prob bottom,0,0,2022-04-23 03:34:18+00:00
2,2,goog googl tradingview,0,0,2022-04-23 03:20:00+00:00
3,3,patience rewarded investing stocks years ago would worth tesla goog aapl,0,0,2022-04-23 02:47:04+00:00
4,4,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-23 01:23:47+00:00
5,5,insiders also bought netflix drop would take much,1,1,2022-04-23 01:02:28+00:00
6,6,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-23 00:53:46+00:00
7,7,goog working way top mentioned wallstreetbets last hours via,0,0,2022-04-23 00:23:07+00:00
8,8,bearish hear like bullish mths ago stock market always reverse sometimes takes longer even,0,0,2022-04-22 22:03:20+00:00
9,9,hopefully aapl msft amzn goog hold till,0,0,2022-04-22 20:49:08+00:00
10,10,friday apr goog google goog closing price usd call premiun p c usd put premiun,0,0,2022-04-22 20:09:17+00:00
11,11,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-22 18:53:46+00:00
12,12,buying nvda goog,0,0,2022-04-22 18:29:18+00:00
13,13,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-22 18:24:06+00:00
14,14,amid growing inequity apple workers new york grand central store take steps unionize aapl sbux amzn,1,0,2022-04-22 18:00:56+00:00
15,15,beating today goog,0,0,2022-04-22 16:41:22+00:00
16,16,need big boys save market aapl goog amzn msft,0,0,2022-04-22 16:24:31+00:00
17,17,google microsoft looking like put tops weekly chart ndx ndx goog good msft msft,0,0,2022-04-22 15:12:04+00:00
18,18,goog bto goog call algotrade roybatyalgo goog,0,0,2022-04-22 15:08:22+00:00
19,19,goog bto goog call algotrade roybatyalgo goog view details,0,0,2022-04-22 14:59:58+00:00
20,20,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-22 12:23:46+00:00
21,21,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-22 11:53:46+00:00
22,22,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-22 05:53:46+00:00
23,23,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-22 05:23:46+00:00
24,24,goog morning,1,1,2022-04-22 04:10:09+00:00
25,25,big big weekly monthly support goog could great bounce break let see plays w,1,0,2022-04-22 03:25:25+00:00
26,26,goog page lawrence sold shares class c capital stock worth transaction goog,0,0,2022-04-22 01:00:58+00:00
27,27,goog page lawrence sold shares class common stock worth transaction goog,0,0,2022-04-22 01:00:54+00:00
28,28,goog page lawrence sold shares class common stock worth transaction goog,0,0,2022-04-22 01:00:43+00:00
29,29,goog page lawrence sold shares class c capital stock worth transaction goog,0,0,2022-04-22 01:00:19+00:00
30,30,google internet google googl goog stock market tech technology epic internet monster,0,2,2022-04-21 23:23:46+00:00
31,31,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-21 22:53:46+00:00
32,32,u need goog,1,0,2022-04-21 17:14:11+00:00
33,33,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-21 16:53:46+00:00
34,34,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-21 16:23:46+00:00
35,35,wow goog fb knife cutting deeper mea culpa stop losses guess fantastic time buy even,0,0,2022-04-21 16:17:50+00:00
36,36,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-21 10:23:46+00:00
37,37,google say google googl stock tech internet goog technology epic monster,1,0,2022-04-21 09:53:47+00:00
38,38,google upgraded ahead earnings goog goog,0,0,2022-04-21 06:00:52+00:00
39,39,google internet google googl goog stock market tech technology epic internet monster,0,1,2022-04-21 03:53:46+00:00
40,40,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-21 03:23:47+00:00
41,41,glcvy best company turkey stock market moment fast fb fisv ftnt gild goog googl hon,10,5,2022-04-20 22:44:57+00:00
42,42,goog page lawrence sold shares class c capital stock worth transaction goog,0,0,2022-04-20 22:01:34+00:00
43,43,goog page lawrence sold shares class common stock worth transaction goog,0,0,2022-04-20 21:56:59+00:00
44,44,made mind going forward bc playing long game investing tsla,0,0,2022-04-20 21:41:05+00:00
45,45,important news glcvy turkey stock market fast fb fisv ftnt gild goog googl hon idxx ilmn,12,3,2022-04-20 21:39:04+00:00
46,46,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-20 21:23:46+00:00
47,47,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-20 20:53:46+00:00
48,48,nasdaq getting absolutely pummeled meta goog nflx bloody hell looking bounce springboard crypto,0,0,2022-04-20 19:50:33+00:00
49,49,wow selling goog fb guess get keep buying way hard catch falling knife,0,0,2022-04-20 15:16:05+00:00
50,50,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-20 14:53:46+00:00
51,51,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-20 14:23:47+00:00
52,52,google internet google googl goog stock market tech technology epic internet monster,1,1,2022-04-20 08:23:46+00:00
53,53,google say google googl stock tech internet goog technology epic monster,0,1,2022-04-20 07:53:47+00:00
54,54,several us big tech names sitting close key support levels check goog msft nvda,0,0,2022-04-20 07:51:51+00:00
55,55,negative implication short term least top tech firms aapl msft goog intc,4,1,2022-04-20 06:54:53+00:00
56,56,spending iaas forecast show highest growth cloud category gartner said close behi,2,0,2022-04-20 06:07:21+00:00
57,57,faang anymore new buzzword gama goog aapl msft amzn,0,0,2022-04-20 05:49:37+00:00
58,58,google internet google googl goog stock market tech technology epic internet monster,0,1,2022-04-20 01:53:46+00:00
59,59,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-20 01:23:46+00:00
60,60,even figure rewind viewing em know dum,0,0,2022-04-19 22:53:08+00:00
61,61,snapshot federal reserve slush fund pumped wall st trillions trends almost,37,10,2022-04-19 21:13:58+00:00
62,62,google internet google googl goog stock market tech technology epic internet monster,0,1,2022-04-19 19:23:46+00:00
63,63,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-19 18:53:46+00:00
64,64,google internet google googl goog stock market tech technology epic internet monster,1,0,2022-04-19 12:53:46+00:00
65,65,google say google googl stock tech internet goog technology epic monster,1,0,2022-04-19 12:23:46+00:00
66,66,good morning amc gme amc gme amcnotleaving sndl bbig cei sofi muln amzn goog holding friends let ge,4,2,2022-04-19 11:44:27+00:00
67,67,morning traders slopes suggesting btc dominance going alt season btc eth ethbtc spx spx,2,0,2022-04-19 09:24:25+00:00
68,68,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-19 06:23:46+00:00
69,69,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-19 05:53:46+00:00
70,70,million btc reward taking lots controversy along sha,0,0,2022-04-19 03:03:21+00:00
71,71,goog page lawrence sold shares class common stock worth transaction goog,1,0,2022-04-19 01:43:50+00:00
72,72,goog page lawrence sold shares class c capital stock worth transaction goog,0,0,2022-04-19 01:43:40+00:00
73,73,goog page lawrence sold shares class common stock worth transaction goog,0,0,2022-04-19 01:43:26+00:00
74,74,goog page lawrence sold shares class c capital stock worth transaction goog,0,0,2022-04-19 01:43:20+00:00
75,75,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-18 23:53:47+00:00
76,76,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-18 23:23:46+00:00
77,77,amid growing inequity apple workers new york grand central store take steps unionize aapl sbux amzn,0,1,2022-04-18 18:00:14+00:00
78,78,google internet google googl goog stock market tech technology epic internet monster,0,0,2022-04-18 17:23:47+00:00
79,79,goog prediction tomorrows predicted price current price gives,0,0,2022-04-18 16:55:42+00:00
80,80,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-18 16:53:46+00:00
81,81,goog prediction tomorrows predicted price current price gives,0,0,2022-04-18 15:39:51+00:00
82,82,trades week options starting today apr expiring friday apr goog google goog se,0,0,2022-04-18 14:03:22+00:00
83,83,goog prediction tomorrows predicted price current price gives,0,0,2022-04-18 13:47:33+00:00
84,84,google say google googl stock tech internet goog technology epic monster,0,0,2022-04-18 10:23:46+00:00
