,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,celebrating years ko tollywood best uh film kvanand,0,0,2022-04-22 08:38:06+00:00
1,1,celebrating yearsofko one biggest blockbuster tamil cinema,1,0,2022-04-22 08:18:38+00:00
2,2,yawns ranters concern problem na k wey urgently problem right,0,0,2022-04-22 07:59:44+00:00
3,3,celebrating years ko kvanand ajmal,83,7,2022-04-22 05:51:15+00:00
4,4,buy ko rune ko step step guide ko korune rune game ko,0,0,2022-04-22 05:17:05+00:00
5,5,welcome second member k anthony roles taken audition threw google forms b,0,0,2022-04-22 05:13:58+00:00
6,6,still waiting journey moon started join family koubekian,18,2,2022-04-22 04:06:21+00:00
7,7,super quick drawing morning cornelian getting smacked fish dnd ko lol,2,1,2022-04-22 03:48:40+00:00
8,8,home sweet home ko time,0,0,2022-04-22 03:13:10+00:00
9,9,wholesome fight thoughts ko knockout streetfight fight fightvids fightvideos hoodfights hoodfight,33,0,2022-04-22 02:16:31+00:00
10,10,ko knockout streetfight fight fightvids fightvideos hoodfights hoodfight fightpage fights hoodmemes,2,0,2022-04-22 02:06:37+00:00
11,11,break feat k via wdmv radio brand new sunstone x ko ultima listen u,0,0,2022-04-22 01:35:32+00:00
12,12,gator went tap tap cops ko,1,0,2022-04-22 00:46:38+00:00
13,13,dayum ko knockout fight fightvids fightvideos streetfight,317,14,2022-04-21 23:56:22+00:00
14,14,hey x art prints available ko fi shop ko fi artprints forsale,1,0,2022-04-21 23:33:22+00:00
15,15,weekend coachella week one tried take back ko bag like miketyson festival,0,0,2022-04-21 23:29:08+00:00
16,16,tonight midnight get ya playlists ready newmusicfriday purple ko,0,0,2022-04-21 23:28:25+00:00
17,17,selador sessions housemusic technomusic,0,0,2022-04-21 23:03:47+00:00
18,18,dialectic perspective evolution thesauri ontologies maziar amirhosseini available,0,0,2022-04-21 23:00:00+00:00
19,19,even worse niger guy called lockdown snack ko done game,0,0,2022-04-21 22:32:59+00:00
20,20,good look fighter nearly get knocked breakfast knockouts ko,0,0,2022-04-21 22:01:49+00:00
21,21,bitch slammed ass lol thoughts ko knockout streetfight fight fightvids fightvideos hoodfights,21,0,2022-04-21 21:36:29+00:00
22,22,bro still standing head shots thoughts ko knockout streetfight fight fightvids fightvideos,23,2,2022-04-21 21:35:49+00:00
23,23,cop draggin shit thoughts ko knockout streetfight fight fightvids fightvideos hoodfights,31,2,2022-04-21 21:34:11+00:00
24,24,damn bro doggy style thoughts ko knockout streetfight fight fightvids fightvideos hoodfights,53,0,2022-04-21 21:33:17+00:00
25,25,damn big boy got hands thoughts ko knockout streetfight fight fightvids fightvideos hoodfights,26,1,2022-04-21 21:32:46+00:00
26,26,acting tuff goes wrong thoughts ko knockout streetfight fight fightvids fightvideos hoodfights,28,1,2022-04-21 21:31:39+00:00
27,27,thoughts ash vs jango fett apex legends vs star wars fanart conceptart concepts matchups fights cartoon,0,0,2022-04-21 20:42:58+00:00
28,28,check ko cocacola yes one drops mucho well end near,5,0,2022-04-21 19:18:57+00:00
29,29,day want kevinowens wwe undisputed universal champion main event wrestlemania,1,0,2022-04-21 18:47:39+00:00
30,30,sheesh boy caught hands ironmiketyson airplane still rockemsockem ko,1,0,2022-04-21 16:53:10+00:00
31,31,ko volume pretty normal similarly recent days shares traded day average volume,0,0,2022-04-21 16:09:30+00:00
32,32,fud mongols hit left right left ko fundamentally gold,0,0,2022-04-21 15:50:52+00:00
33,33,mzansi ko coz everyone deserves feel look nice,0,0,2022-04-21 15:30:44+00:00
34,34,want work online ufc straight savage lol fight ko ps imgemini gamer ufc boxing,1,0,2022-04-21 14:40:58+00:00
35,35,trailer midnight sun rook amp ko ko rook ko ko midnightworks,0,0,2022-04-21 13:15:27+00:00
36,36,celebration begins ko today pm murasu amp yearsofblockbusterko best directional rememberingkvanand amp,7,1,2022-04-21 11:55:46+00:00
37,37,night time melbourne happy two pieces ko selected,0,0,2022-04-21 09:31:10+00:00
38,38,welcome first member k kai roles taken audition threw google forms bio,0,0,2022-04-21 04:30:07+00:00
39,39,talking shit getting beat saying n word thoughts ko knockout streetfight fight,142,5,2022-04-21 04:29:54+00:00
40,40,j herbert v cyborg still undefeated herbertvcyborg ko,0,0,2022-04-21 02:06:50+00:00
41,41,inpoker introduces new types tournaments eliminate opponents pko ko get quick win ac,3,2,2022-04-21 02:00:27+00:00
42,42,send videos sound ukdrill drill melodicdrill newtrend newmusicfriday ko tekken,2,0,2022-04-20 23:45:09+00:00
43,43,kevin olson great trip,0,0,2022-04-20 23:15:25+00:00
44,44,simeon powell wins via rd round ko brutal knee exit clinch trying coast decision f,1,0,2022-04-20 22:26:50+00:00
45,45,day missing lol ca wait return hope feeling well better,0,0,2022-04-20 22:07:06+00:00
46,46,thoughts lois griffin vs wii fit trainer family guy vs wii fit fanart conceptart concepts matchups fights,0,0,2022-04-20 21:18:39+00:00
47,47,professional boxer tells training since pampers ko futurechamp lol madeboxer,0,0,2022-04-20 21:14:31+00:00
48,48,handling life dramas right uppercut problems solutions ko boxing,6,0,2022-04-20 19:53:44+00:00
49,49,day want kevinowens wwe undisputed universal champion main event wrestlemania,1,0,2022-04-20 18:54:10+00:00
50,50,board members decide settle meeting blows sensitive content asf follow fights hood,6,0,2022-04-20 18:48:11+00:00
