,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,check msft analysis,0,0,2022-04-25 00:24:34+00:00
1,1,biggest earnings week quarter coming ready overreactions market times like usua,0,0,2022-04-24 23:15:51+00:00
2,2,market traders use weekend head tricktrades youtube channel actual profe,0,0,2022-04-24 22:20:27+00:00
3,3,looking good bigtech zone give short support bounce go de,0,0,2022-04-24 21:45:46+00:00
4,4,earnings releases week april meta platforms fb apple aapl microsoft msft amazon amzn,0,0,2022-04-24 17:50:29+00:00
5,5,next weeks favorite long msft goog fb amzn trade,0,0,2022-04-24 17:10:36+00:00
6,6,next weeks favorite short msft goog fb amzn trade,0,0,2022-04-24 17:09:26+00:00
7,7,favorite short play long play next week ko msft goog spot fb nok amzn roku,0,0,2022-04-24 17:07:17+00:00
8,8,let start rally shorting msft,0,0,2022-04-24 17:06:29+00:00
9,9,start short rally msft,0,0,2022-04-24 17:05:25+00:00
10,10,watching msft ema weekly msft closed ema weekly since,1,0,2022-04-24 16:50:58+00:00
11,11,happy sunday top thingstoknowthisweek aapl msft amzn google fb earnings twtr intc,0,0,2022-04-24 16:48:31+00:00
12,12,msft target weeks stock spx dxy tech,0,0,2022-04-24 16:19:10+00:00
13,13,love aitx ai appl msft cheems aitx btc eth btc eth tsla,0,0,2022-04-24 15:18:31+00:00
14,14,yes love aitx ai appl msft cheems aitx btc eth btc eth tsla,2,0,2022-04-24 15:17:40+00:00
15,15,rumors fed adding basis point market priced yet nasdaq goog appl,0,0,2022-04-24 15:12:02+00:00
16,16,time techs report earnings aapl amzn goog googl msft fb report week aapl apple,4,1,2022-04-24 14:49:03+00:00
17,17,quit day job writing stock options option class deal stonks,3,1,2022-04-24 12:16:34+00:00
18,18,market bad faamg released financial reports one another let us wait see tsla aapl msft fb amzn google,0,0,2022-04-24 11:23:40+00:00
19,19,tsla whos msft short,0,0,2022-04-24 11:18:26+00:00
20,20,planning add dividend technology stocks portfolio current portfolio growth stocks aapl msft,1,0,2022-04-24 10:53:17+00:00
21,21,msft working way top mentioned wallstreetbets last hours via,0,0,2022-04-24 10:18:56+00:00
22,22,first real experience market one colour portfolio anyways enjoying picking u,0,0,2022-04-24 09:28:57+00:00
23,23,see global coming together short msft next week earnings,1,0,2022-04-24 08:17:21+00:00
24,24,love aitx ai appl msft cheems aitx btc eth btc eth tsla,0,0,2022-04-24 06:47:33+00:00
25,25,msft benefit personal investments play would,0,0,2022-04-24 06:39:29+00:00
26,26,,1,0,2022-04-24 03:38:38+00:00
27,27,pm make wish short msft,0,0,2022-04-24 03:11:34+00:00
28,28,power players gmerica gmetothemoon gamestop powertotheplayers gme gme,2,0,2022-04-24 01:49:47+00:00
29,29,msft seeing uptick chatter wallstreetbets last hours via msft,0,0,2022-04-23 23:57:29+00:00
30,30,im happy never paid copies windows msft tesla,1,0,2022-04-23 22:41:39+00:00
31,31,short msft buy em integrate tsla xbox,0,0,2022-04-23 20:53:53+00:00
32,32,shorting company solving climatechange greed envy hmm let sho,0,0,2022-04-23 20:52:25+00:00
33,33,earnings week alot watch week probably set tone next days fomc,0,0,2022-04-23 19:39:37+00:00
34,34,short msft much obvious trade nothing green software,0,0,2022-04-23 19:25:10+00:00
35,35,msft one mentioned wallstreetbets last hours via msft,0,0,2022-04-23 18:56:57+00:00
36,36,semana al meta fb apple amazon netflix google microsoft,0,0,2022-04-23 17:08:50+00:00
37,37,microsoft msft chart,0,0,2022-04-23 15:18:26+00:00
38,38,msft earnings dropping tuesday hours outcome msft earningsseason stocks options,0,0,2022-04-23 15:09:24+00:00
39,39,bottoms msft chart,0,0,2022-04-23 14:52:58+00:00
40,40,seen latest msft income statement balance sheet free cash flow reported clearly,0,0,2022-04-23 14:11:12+00:00
41,41,maybe gates txts came puuts msft,0,0,2022-04-23 13:51:37+00:00
42,42,easily biggest earnings week quarter front us ko ups ge pep mm wm msft goog v gm ba,0,0,2022-04-23 13:51:11+00:00
43,43,long position msft,1,0,2022-04-23 13:30:00+00:00
44,44,msft weekend update msft chart,0,0,2022-04-23 13:09:07+00:00
45,45,big week next week anticipated earnings releases scheduled week meta platforms fb,4,1,2022-04-23 13:07:52+00:00
46,46,imagine msft buying twtr next week comeback move,0,0,2022-04-23 12:38:15+00:00
47,47,tsla msft elon musk says confronted bill gates shorting tesla tesla ceo admitted asked gate,0,0,2022-04-23 12:08:01+00:00
48,48,msft seeing sustained chatter wallstreetbets last days via msft,0,0,2022-04-23 11:55:34+00:00
49,49,earnings report going even bigger volatility next week majority big cap players going,43,7,2022-04-23 10:52:18+00:00
50,50,elonmusk accused microsoft co founder billgates shorting tesla tweet friday tesla ceo admi,1,1,2022-04-23 08:38:18+00:00
51,51,short msft,0,0,2022-04-23 04:11:03+00:00
52,52,yesterday last working day amazing experience working multiple projec,1,0,2022-04-23 03:15:25+00:00
53,53,heat map us major index stocks usindex vti,0,1,2022-04-23 01:44:42+00:00
54,54,anyone notice big hours spikes uber aapl msft fb spy nvda f,0,0,2022-04-23 01:08:31+00:00
55,55,next week jewels algn snps msft nasdaq sell trends next week,1,0,2022-04-23 00:28:51+00:00
56,56,ancient egyptians well aware manage something unless measure including water,0,0,2022-04-23 00:03:37+00:00
57,57,today getting stake msft stashstockparty,0,0,2022-04-22 22:58:15+00:00
58,58,msft stock stashstockparty surface pro chance win market stock msft,2,0,2022-04-22 22:23:46+00:00
59,59,microsoft corporation msft price close msft,0,0,2022-04-22 21:35:18+00:00
60,60,hopefully aapl msft amzn goog hold till,0,0,2022-04-22 20:49:08+00:00
61,61,yo u think msft msft,0,0,2022-04-22 20:15:45+00:00
62,62,cnbc jim cramer says gt bear market fri mar pm est nvda msft es f,1,0,2022-04-22 20:00:56+00:00
63,63,msft msft looking weak bearish target bullish join,1,0,2022-04-22 19:31:11+00:00
64,64,exactly four weeks ago straight since gt tues mar cnbc jim cramer says,1,0,2022-04-22 18:56:01+00:00
65,65,,13,6,2022-04-22 18:21:11+00:00
66,66,interesting works well might worthwhile would solve msft authentication scenario though,1,0,2022-04-22 18:11:17+00:00
67,67,need add cheems list love aitx ai appl msft cheems aitx btc eth btc eth tsla,2,1,2022-04-22 17:58:34+00:00
68,68,market brutal today bounce whatsoever cut msft break even earlier today entered,0,0,2022-04-22 17:34:01+00:00
69,69,reading never sell cheems love aitx ai appl msft cheemsinu aitx btc eth btc eth tsla,77,11,2022-04-22 17:31:18+00:00
70,70,going buy cheems x cinu love aitx ai appl msft cheemsinu aitx btc eth btc eth tsla,1,0,2022-04-22 17:29:59+00:00
71,71,best crypto project far cheems extra things outside buying selling wa,0,0,2022-04-22 17:28:29+00:00
72,72,pl platinum sell zone expecting price move sell zone nq f es f spx aapl tsla amzn,0,0,2022-04-22 17:09:51+00:00
73,73,spy spy spx spx qq qq es f es f nq f nq f vix vix aapl aapl msft msft googl googl amzn amzn,0,0,2022-04-22 17:01:09+00:00
74,74,well think done bull forever got gain ibm put inversecramer,3,0,2022-04-22 16:56:25+00:00
75,75,need big boys save market aapl goog amzn msft,0,0,2022-04-22 16:24:31+00:00
76,76,google microsoft looking like put tops weekly chart ndx ndx goog good msft msft,0,0,2022-04-22 15:12:04+00:00
77,77,australian dollar h sell zone possible price move sell zone nq f es f spx aapl,0,0,2022-04-22 14:33:28+00:00
78,78,nq sell zone sz near high probability price move sell zones,0,0,2022-04-22 13:47:31+00:00
79,79,love aitx ai appl msft cheems aitx btc eth btc eth tsla,3,0,2022-04-22 13:35:41+00:00
80,80,twitter inc entered call strike limit buy fully exited minute limit sa,0,0,2022-04-22 11:36:33+00:00
81,81,international business machines corp entered call strike limit buy fully exit,0,0,2022-04-22 11:35:58+00:00
82,82,azure purview dead long live microsoft purview hello dlp macos redmond,1,0,2022-04-22 10:38:32+00:00
83,83,serverless quiz cloudquiz going live participate visit konfhub msft,1,2,2022-04-22 08:59:07+00:00
84,84,mr kotick forwarded inquiry journal reporter facebook employee worked ms sandberg among,0,0,2022-04-22 06:47:53+00:00
85,85,student developer day th apr rsvp msdevday msft msftreactor,1,0,2022-04-22 05:41:09+00:00
86,86,every successful coin rose bottom probably nothing love aitx ai appl msft cheems aitx btc eth btc eth tsla,1,0,2022-04-22 03:52:05+00:00
87,87,love aitx ai appl msft cheems aitx btc eth btc eth tsla,1,0,2022-04-22 03:51:27+00:00
88,88,love aitx ai appl msft cheems aitx btc eth btc eth tsla,0,0,2022-04-22 03:50:32+00:00
89,89,love aitx ai appl msft cheems aitx btc eth btc eth tsla,0,0,2022-04-22 03:48:48+00:00
90,90,love aitx ai appl msft cheems aitx btc eth btc eth tsla,0,0,2022-04-22 03:46:25+00:00
91,91,msft msft last update february rd pattern playing expected ob important support fail,0,1,2022-04-22 02:34:29+00:00
