,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,nvidia corp entered call strike limit buy fully exited hours limit sa,0,0,2022-04-29 13:45:31+00:00
1,1,amd nvda let us go bullmarket,0,0,2022-04-29 13:37:28+00:00
2,2,today market opens w upgrades amp downgrades stocks amp etfs unb,1,1,2022-04-29 13:18:20+00:00
3,3,daily watchlist recap tsla amzn abnb amd bac cvx dis googl iwm mcd nvda qq optionstrading,0,0,2022-04-29 13:06:21+00:00
4,4,c h lead digital accessibility engineer javascript angular agile wcag jaws nvda remote,4,1,2022-04-29 12:56:48+00:00
5,5,today real gdp q advance estimate growth rate come economy slowing,0,0,2022-04-29 06:07:34+00:00
6,6,nvda confirmed lower low sequence since november peak calling short term weakness expect c,0,1,2022-04-29 04:20:56+00:00
7,7,nvda made bottoming formation time reversal nvda,3,0,2022-04-29 03:06:29+00:00
8,8,spx qq djia smh soxx xsd nvda amd adi mu semiconductor retracing fib initial thru,0,0,2022-04-29 01:50:02+00:00
9,9,spx qq djia smh soxx xsd nvda amd adi mu semiconductor retracing fib initial thru,0,0,2022-04-29 00:11:50+00:00
10,10,nvidia corporation nvda closed score credit rating,0,0,2022-04-28 21:20:21+00:00
11,11,made watch day trade youtube link bio daytrading trading watchmedaytrade,0,0,2022-04-28 20:53:23+00:00
12,12,nvda working way top mentioned wallstreetbets last days via,0,0,2022-04-28 19:22:26+00:00
13,13,movers session gainers vol tqq tqq fb fb soxl soxl nvda nvda pypl pypl qcom qcom pins,0,0,2022-04-28 19:02:08+00:00
14,14,stock market fb qcom tmo nvda cmcsa,0,0,2022-04-28 19:00:02+00:00
15,15,movers session gainers vol tqq tqq fb fb soxl soxl nvda nvda pypl pypl qcom qcom pins,0,0,2022-04-28 18:59:47+00:00
16,16,nvda tested nearest support level back business nice candle today like good,1,0,2022-04-28 18:53:07+00:00
17,17,nvda short volume today try new intuitive free stock screener,0,0,2022-04-28 18:49:51+00:00
18,18,scan pm cst runners high relative volume stab stab fb fb aapl aapl amd,0,0,2022-04-28 18:46:20+00:00
19,19,soxl smh called yesterday daily stock market review,1,0,2022-04-28 18:44:40+00:00
20,20,scan pm cst runners high relative volume stab stab fb fb aapl aapl amd,0,0,2022-04-28 18:42:36+00:00
21,21,hmu nvda eth,0,0,2022-04-28 18:13:26+00:00
22,22,happy stockdraft day good luck teams flash back team flash gordon picked tesl,2,0,2022-04-28 18:12:34+00:00
23,23,nvda p e ratio considerably higher sector median making stock expensive buy,0,0,2022-04-28 17:18:26+00:00
24,24,thoughts nvda nvda see moneyfishing idea tradingview,0,0,2022-04-28 15:35:12+00:00
25,25,nvda nvda current nvda analyst ratings current analyst rating distribution nvda total,0,0,2022-04-28 15:16:30+00:00
26,26,minutes small account trade log nvda went straight market open followed sharp downturn,0,0,2022-04-28 14:17:19+00:00
27,27,c h lead digital accessibility engineer javascript angular agile wcag jaws nvda remote,1,2,2022-04-28 14:00:40+00:00
28,28,c h lead digital accessibility engineer javascript angular agile wcag jaws nvda remote,3,3,2022-04-28 13:15:12+00:00
29,29,association clinical psychologists recognises importance nvda unprecedented emergency,182,72,2022-04-28 13:10:20+00:00
30,30,nvda nvda nvda recent analyst upgrade buy successful fund still holding,0,0,2022-04-28 13:01:44+00:00
31,31,c h lead digital accessibility engineer javascript angular agile wcag jaws nvda remote,1,2,2022-04-28 12:54:13+00:00
32,32,daily watchlist tsla amzn abnb amd bac cvx dis googl iwm mcd nvda qq optionstrading,0,0,2022-04-28 12:26:19+00:00
33,33,thoughts nvda nvda see vaidoveek idea tradingview,0,0,2022-04-28 11:35:13+00:00
34,34,thoughts nvda nvda see jasonmwilliamson idea tradingview,0,0,2022-04-28 11:05:13+00:00
35,35,nvda seeing sustained chatter wallstreetbets last days via nvda,0,0,2022-04-28 04:48:27+00:00
36,36,tech stocks thats looking real good right intc amd nvda,0,0,2022-04-28 03:39:28+00:00
37,37,nvda nvda nvda recent analyst upgrade buy successful fund still holding,0,0,2022-04-28 00:48:52+00:00
38,38,thoughts nvda nvda see vibranium capital idea tradingview,0,0,2022-04-28 00:20:13+00:00
39,39,nvda nvda trend resistance easily climb back rally climb back ab,7,0,2022-04-27 23:40:08+00:00
40,40,nvda th mentioned wallstreetbets last days via nvda,0,0,2022-04-27 22:07:16+00:00
41,41,tune live post market recap prep tomorrow trading day spy iwm qq amc gme eth btc,0,0,2022-04-27 20:35:38+00:00
42,42,dwac closed today important harmonic learn important follow us subscribe youtube cha,0,0,2022-04-27 20:33:36+00:00
43,43,nvda working way top mentioned wallstreetbets last days via,0,0,2022-04-27 20:16:50+00:00
44,44,considering adding nvda amd today,0,0,2022-04-27 19:22:50+00:00
45,45,want get minutes worth macro data less minutes watch every today need,1,2,2022-04-27 17:09:36+00:00
46,46,long way next demand level nvda false breakdown riskmanagement,1,0,2022-04-27 16:10:51+00:00
47,47,thoughts nvda nvda see nobullshytrader idea tradingview,0,0,2022-04-27 16:05:18+00:00
48,48,interesting potential setups spy qq know trade setups follow us subscri,0,0,2022-04-27 15:21:33+00:00
49,49,thoughts nvda nvda see hiddenharmonicstrading idea tradingview,0,0,2022-04-27 15:20:14+00:00
50,50,nvda nvda nvda recent analyst upgrade buy successful fund still holding,0,0,2022-04-27 13:08:45+00:00
51,51,weak wakeup wednesday tune find probabilities say spy iwm qq amc gme,0,0,2022-04-27 13:04:29+00:00
52,52,btc k gt k mstr gt nvda gt hood gt ftcv gt stable vs spx n,0,0,2022-04-27 09:53:25+00:00
53,53,non violent civil disobedience history shown method give results taking chance,5,3,2022-04-27 07:55:46+00:00
54,54,nvda working way top mentioned wallstreetbets last days via,0,0,2022-04-27 06:32:50+00:00
55,55,nvda working way top mentioned wallstreetbets last days via,0,0,2022-04-26 23:20:35+00:00
56,56,ia weekly q amp top q answered live covering fascinating topics today slides heavy kpm liv,1,0,2022-04-26 22:13:37+00:00
57,57,many campaigning nvda hope,0,0,2022-04-26 21:48:20+00:00
58,58,semi continuing show incredible weakness major support broken drag markets,0,0,2022-04-26 21:07:59+00:00
59,59,hey chat given work around make jfw,1,0,2022-04-26 20:35:19+00:00
60,60,going live tools help make money market environment spy iwm qq amc,0,0,2022-04-26 20:33:33+00:00
61,61,people say technical analysis work stocks like amc beg differ look precision h,0,0,2022-04-26 19:29:09+00:00
62,62,amd nvda ater amc bbig ocgn gme tsla twtr fidelityinvestments fidelity criminal organizat,1,1,2022-04-26 19:20:07+00:00
63,63,made watch day trade youtube link bio daytrading trading watchmedaytrade,0,0,2022-04-26 19:08:37+00:00
64,64,nvda fidelity criminal organization predatory market maker citadel hedge fund shorting,0,0,2022-04-26 19:06:36+00:00
65,65,stock market midday update turnaround tuesday full force via,0,0,2022-04-26 17:53:36+00:00
66,66,live mid day update price action join us spy iwm qq amc gme eth btc nvda tsla,0,0,2022-04-26 17:23:56+00:00
67,67,today small account trade log endure another red day today big loss market open deep,0,0,2022-04-26 16:24:05+00:00
68,68,gme hit three reversal pattern targets downside question remaining fill,0,0,2022-04-26 16:23:34+00:00
69,69,nvda next buy tsla waiting,3,0,2022-04-26 15:55:18+00:00
70,70,make habit watching every video post get informat,2,2,2022-04-26 15:50:29+00:00
71,71,nvda seeing uptick chatter wallstreetbets last hours via nvda,0,0,2022-04-26 15:28:27+00:00
72,72,nvda reach stock split price months back ouchies nvda nvidia,1,0,2022-04-26 15:06:55+00:00
73,73,spx qq djia smh soxx xsd nvda amd adi mu semiconductor retracing fib initial thru,0,0,2022-04-26 13:29:45+00:00
74,74,nvda update weekly bars,4,1,2022-04-26 13:25:26+00:00
75,75,great idea buy stock one sees unbelievable price however seeing prices ever,0,0,2022-04-26 13:12:00+00:00
76,76,going live today pre market prep come join us free spy iwm qq amc gme eth btc nvda,0,0,2022-04-26 13:04:35+00:00
77,77,nvda nvda bullish breaish join community,1,0,2022-04-26 11:56:45+00:00
78,78,hopeful see speak regretable need psychologists support non violent direct actio,3,0,2022-04-26 11:45:17+00:00
79,79,trading education gt hedge longs versus shorts trade stocks protect,1,1,2022-04-26 11:03:16+00:00
80,80,nvda th mentioned wallstreetbets last days via nvda,0,0,2022-04-26 08:46:50+00:00
81,81,nvda th mentioned wallstreetbets last hours via nvda,0,0,2022-04-26 05:46:11+00:00
