,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,pfe k pfizer apr pm results operations financial condition pfe k pfizer news,0,0,2022-04-20 20:46:54+00:00
1,1,stock market reliance ns nke jnj dis prx,0,0,2022-04-19 19:00:02+00:00
2,2,japan approves novavax covid booster vaccine nvax pfe,1,0,2022-04-19 16:30:58+00:00
3,3,made bet friend yesterday either pfizer pfe moderna mrna drop least st dec,0,0,2022-04-19 12:39:55+00:00
4,4,pfe triggered daily reversal already looking good weekly downside thestrat,0,0,2022-04-18 15:08:11+00:00
5,5,sentmiment pfe pfe week wallstreetmooners stockwatch wallstreetmooners,0,0,2022-04-18 13:26:08+00:00
6,6,stocks everybody like week say twitter still hodl pfe pfizer paypal way,1,0,2022-04-17 23:18:42+00:00
7,7,puts pfe,2,0,2022-04-16 19:40:24+00:00
8,8,effective boost using mrna vaccine best combinations mrna protei,0,0,2022-04-16 13:52:01+00:00
9,9,incredible video shanghai covid lockdown chinese cities tighten controls gt shanghai covid cases,0,0,2022-04-16 13:28:48+00:00
10,10,china gt extreme covid lockdown million people shanghai must see video gt new,2,1,2022-04-16 12:25:00+00:00
11,11,completely absurd ocgn another fuckery pfe mrna fill pockets sick manipul,15,4,2022-04-15 10:25:33+00:00
12,12,pfe pfizer inc reference price year prediction potential pfe,0,0,2022-04-14 19:27:38+00:00
13,13,lims opinion sapiosciences high throughput next generation,0,0,2022-04-14 18:58:51+00:00
14,14,pfe analysis longed,0,0,2022-04-14 14:48:39+00:00
15,15,amp p technical analysis inverted head amp shoulders blue rsi support,2,0,2022-04-14 14:21:04+00:00
16,16,new g lloyd figure interview big shouts link bio hiphop music artist indie,0,1,2022-04-14 13:16:52+00:00
17,17,ous news smart phone apps power digital health dynamic healthcare environment example,0,0,2022-04-14 11:05:57+00:00
18,18,halozyme acquire antares pharma deal halo pfe,0,0,2022-04-13 12:01:09+00:00
19,19,fr tradingview pfe pfe buy tradingview,0,0,2022-04-13 07:36:17+00:00
