,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,camera body fujifilm x,0,0,2022-04-21 03:29:31+00:00
1,1,untitled korea snap photography,0,1,2022-04-21 02:13:53+00:00
2,2,snap one mentioned wallstreetbets last hours via snap,0,0,2022-04-21 02:13:37+00:00
3,3,anyone trade stuff snapchat horny haha dm jakol snap,9,0,2022-04-21 01:55:14+00:00
4,4,sna price moved day moving average april view odds indicators,0,0,2022-04-21 01:31:11+00:00
5,5,age stop creating new social media accounts trade facebook snap tiktok,2,0,2022-04-21 01:08:33+00:00
6,6,rockin canyons angeles landing zion utah photography travelphotography explorepage snap,0,0,2022-04-21 00:55:42+00:00
7,7,amen key call center metrics watch call answer abandon rates avg time,1,0,2022-04-21 00:05:59+00:00
8,8,someone say extra cheese pizza snap snapcustompizza pizzalovers cheesepizza,0,0,2022-04-21 00:00:47+00:00
9,9,hey babe daddy really horny rn come dm add snapchat nathandeloroy dont make wait dm horny snap,0,0,2022-04-20 23:54:58+00:00
10,10,times square poppin always love atmosphere concrete jungle new york new york photography,1,0,2022-04-20 23:45:27+00:00
11,11,alicechildren families face rising food prices often locked supports address,0,0,2022-04-20 23:15:02+00:00
12,12,illegal chopoff dogs tail could potentially snap diesels tail,0,0,2022-04-20 23:04:42+00:00
13,13,insidersale ticker snap price name andersen derek quantity value,0,0,2022-04-20 23:01:15+00:00
14,14,snap gorman jeremi sold shares class common stock worth transaction,0,0,2022-04-20 23:01:02+00:00
15,15,dewine ohio governor amp administration still owe thousands back pay people needed unemployment,0,0,2022-04-20 22:59:02+00:00
16,16,horny girls add snapchat geil snap guys,0,0,2022-04-20 22:11:37+00:00
17,17,k fans please add snap blasian mf bitmoji scan made eyes like banana fr,0,0,2022-04-20 21:59:28+00:00
18,18,damn b musty mama broke confessed got romanced chatbot oh snap,0,0,2022-04-20 21:46:26+00:00
19,19,everyone snap,3,0,2022-04-20 21:46:15+00:00
20,20,earlier better text snapchat account hack guaranteed snap snapchat snapch snapchatdown xgems,0,0,2022-04-20 21:25:06+00:00
21,21,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,0,0,2022-04-20 21:13:07+00:00
22,22,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,0,0,2022-04-20 21:10:57+00:00
23,23,makes thigns easier snap ubuntu,25,8,2022-04-20 21:07:14+00:00
24,24,let us help secure job pays well provides opportunity increase earnings helpnm,0,0,2022-04-20 21:05:31+00:00
25,25,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,0,0,2022-04-20 21:05:02+00:00
26,26,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,0,0,2022-04-20 21:02:44+00:00
27,27,mobile app download snap amp translate iphone,0,0,2022-04-20 21:00:00+00:00
28,28,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,0,0,2022-04-20 20:57:58+00:00
29,29,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,0,0,2022-04-20 20:54:52+00:00
30,30,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,1,1,2022-04-20 20:47:49+00:00
31,31,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,0,0,2022-04-20 20:45:27+00:00
32,32,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,0,0,2022-04-20 20:44:30+00:00
33,33,use snap ebt select one time purchase shipped sold amazon purchased w ebt item available f,0,0,2022-04-20 20:41:17+00:00
34,34,feel free hacking easy text snapchat account hack guaranteed snap snapchat snapchatleak snapchatsupport snapchatdown,0,0,2022-04-20 20:08:38+00:00
35,35,earlier better text snapchat account hack guaranteed snap snapchat snapchatleak,0,0,2022-04-20 20:07:15+00:00
