,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,frge chokehold finish week lol still green stonks gains spy puts robinhood account small,0,0,2022-04-23 01:27:01+00:00
1,1,dlc hitman sarajevo six veteran bangkok mission game diff,1,0,2022-04-23 01:24:59+00:00
2,2,one get upset later avax dubai nu spy ethereum wimi,0,0,2022-04-23 01:20:13+00:00
3,3,anyone notice big hours spikes uber aapl msft fb spy nvda f,0,0,2022-04-23 01:08:31+00:00
4,4,anya doodles anime digitalart illustration anya spy family fanart anyafanart cute kawaii,0,0,2022-04-23 00:58:43+00:00
5,5,umm wtf htf wtf spy,8,2,2022-04-23 00:54:48+00:00
6,6,traded days today one earning day learning day spy nvda uvxy,0,0,2022-04-23 00:52:17+00:00
7,7,last thesis week vs eow trusted strange earnings induced consolidation thr,3,0,2022-04-23 00:40:27+00:00
8,8,spy working way top mentioned chan last days via,0,0,2022-04-23 00:33:06+00:00
9,9,market green honor earth day stocks stockmarket spy qq nasdaq investment earthday,0,0,2022-04-23 00:28:18+00:00
10,10,seem much resistance knifing right bloody py spy,1,0,2022-04-23 00:26:28+00:00
11,11,giving fire plays peeps time watching bench optionstrading spy,0,0,2022-04-23 00:24:58+00:00
12,12,investment banking best banking market stockmarket hedgefunds stocks options crypto spy,0,0,2022-04-23 00:23:48+00:00
13,13,spy spy chart,1,0,2022-04-23 00:16:10+00:00
14,14,spy still going exactly plan think another week red probably retest pump fomc let,0,0,2022-04-23 00:10:00+00:00
15,15,classic technical analysis h amp pattern plays like text books looking downside target,0,0,2022-04-23 00:06:41+00:00
16,16,today gains king options trading optionstrading spy aapl robinhood options stocks,0,0,2022-04-22 23:59:59+00:00
17,17,vxx spy retest tag team riches vxx amp spy one cheats look retest price spy c,0,0,2022-04-22 23:59:17+00:00
18,18,pm incase anyone unsure spy qq tlt bitcoin crypto cryptocurrency trading invest,1,0,2022-04-22 23:54:25+00:00
19,19,spy trading plan review puts entries successful b opened cents entry pt reached spy sh,0,0,2022-04-22 23:47:46+00:00
20,20,come powell let smoke btfd millennials spy equities recession markets qq,0,0,2022-04-22 23:47:05+00:00
21,21,market goes plan make money members good luck past couple day,1,0,2022-04-22 23:46:55+00:00
22,22,stock market awful today see new lows amp p hitting possible next,0,0,2022-04-22 23:38:56+00:00
23,23,well fun day spy spyputs moonsoon,2,0,2022-04-22 23:35:21+00:00
24,24,anyone realize correlation amp p spy bitcoin movement lately,0,0,2022-04-22 23:32:24+00:00
25,25,vs market correction spy spy spy cryptocurrencies telegram,0,0,2022-04-22 23:18:13+00:00
26,26,es es f es f spy spx spy bears showing mercy bulls demand could hold final target,0,0,2022-04-22 23:06:36+00:00
27,27,reading acts justus cold case inventors made day better webtoon fyp,0,0,2022-04-22 22:58:43+00:00
28,28,check spy analysis,0,0,2022-04-22 22:52:53+00:00
29,29,large market close stock order imbalances orderimbalance marketonclose stockmarket,0,0,2022-04-22 22:41:28+00:00
30,30,spx spy es f es big picture spy w tradingbase trading options,2,0,2022-04-22 22:27:17+00:00
31,31,get macro analytics need minutes follow watch every video post,0,0,2022-04-22 22:11:46+00:00
32,32,open everyone may th pass chance meet best team also options flow wort,0,0,2022-04-22 22:07:36+00:00
33,33,vestry bill wondered churches geography never strong point made,0,0,2022-04-22 21:59:49+00:00
34,34,bullish na sp spy,0,0,2022-04-22 21:55:25+00:00
35,35,spy life,0,0,2022-04-22 21:54:58+00:00
36,36,es f free first level amp p weekly trade zones get hour video course amp trade zones open gaps amp vpoc level,1,0,2022-04-22 21:53:42+00:00
37,37,attn members es f weekly trade zones updated members section website next weeks tradi,0,0,2022-04-22 21:53:23+00:00
38,38,solid friday banger spy lotto,0,0,2022-04-22 21:51:23+00:00
39,39,insane gain spy puts today wanna see win rate live call join discord link bel,1,0,2022-04-22 21:49:11+00:00
40,40,levels lie tr ndy spy,6,0,2022-04-22 21:48:54+00:00
41,41,spx weekend recap primary alternate wave count es f spy spy spx,61,10,2022-04-22 21:45:56+00:00
42,42,forces defy reality noor protect millions innocents bloody end,0,0,2022-04-22 21:30:02+00:00
43,43,spy th mentioned chan last hours via spy chan,0,0,2022-04-22 21:22:24+00:00
44,44,fees funds deployed market minutes spy spy xsp xsp,0,0,2022-04-22 21:20:37+00:00
45,45,spy moved april nd stocks stockmarket spy,1,1,2022-04-22 21:06:19+00:00
46,46,hadith hadithtime prophetmuhammad pbuh said beware suspicion suspicion worst false,0,0,2022-04-22 21:03:11+00:00
47,47,weekly podcast decoding classic spy cinema spy movie jamesbond,0,0,2022-04-22 21:00:10+00:00
48,48,welcome back buckle spy chart,0,1,2022-04-22 20:57:02+00:00
49,49,spy puts better made us major dry powder lfg amc,0,0,2022-04-22 20:56:59+00:00
50,50,small fee spy anyone want even good spy spying knows limits spy sleepyjoe russia,0,0,2022-04-22 20:56:01+00:00
51,51,spy pm oswd amp p amp qq bears great opportunity go tes via h,3,1,2022-04-22 20:55:54+00:00
52,52,gap monday spy,1,0,2022-04-22 20:53:05+00:00
