,Unnamed: 0,text,favourite_count,retweet_count,created_at
0,0,best thing etfs voo voo,0,0,2022-04-22 04:08:32+00:00
1,1,heat map us major index stocks usindex vti,0,1,2022-04-21 22:21:48+00:00
2,2,crypto first try voo vti,0,0,2022-04-21 12:11:53+00:00
3,3,often get asked lot individual companies within portfolio reminded constantly,3,0,2022-04-21 11:09:48+00:00
4,4,crypto first try voo vti,0,0,2022-04-21 06:11:55+00:00
5,5,heat map us major index stocks usindex vti,1,1,2022-04-20 23:15:01+00:00
6,6,solana flip ethereum phantom wallet launches mobile app via ada solana,0,0,2022-04-20 02:46:55+00:00
7,7,solana huge potential sol price prediction via ada solana,0,0,2022-04-20 02:44:43+00:00
8,8,solana analysis sol set explode via ada solana ethereum avax luna,0,0,2022-04-20 02:43:25+00:00
9,9,retire solana top global retirement destinations via ada,1,0,2022-04-20 02:40:48+00:00
10,10,market update solana hit eth bitcoin defi via,0,0,2022-04-20 02:40:13+00:00
11,11,solana could sol hit deep dive via ada solana ethereum avax,0,0,2022-04-20 02:39:22+00:00
12,12,need solana today solana sol staking price via ada solana,0,0,2022-04-20 02:38:11+00:00
13,13,heat map us major index stocks usindex vti,0,1,2022-04-19 23:25:57+00:00
14,14,everyday etf vti etf voo qq,1,0,2022-04-19 22:15:00+00:00
15,15,heat map us major index stocks usindex vti,2,1,2022-04-18 23:02:32+00:00
16,16,everyday etf vti etf voo qq,0,0,2022-04-18 21:37:22+00:00
17,17,qq bouncing jan th lows could good near term trend information see follow g,1,0,2022-04-18 18:38:35+00:00
18,18,voo need,1,0,2022-04-18 01:03:10+00:00
19,19,crypto first try voo vti,0,0,2022-04-17 00:01:41+00:00
20,20,strong data suggesting putting money etf tracks amp p way go voo spy,1,0,2022-04-16 18:38:05+00:00
21,21,heat map us major index stocks usindex vti,1,2,2022-04-16 01:12:46+00:00
22,22,get voo majority shareholders everything voogle,1,0,2022-04-15 15:55:29+00:00
23,23,sentmiment voo voo week wallstreetmooners stockwatch wallstreetmooners,0,0,2022-04-15 13:26:05+00:00
24,24,heat map us major index stocks usindex vti voo qq vt googl,0,0,2022-04-14 23:36:58+00:00
25,25,everyday etf vti etf voo qq,1,0,2022-04-14 22:30:00+00:00
